clasificacion,texto
Falso,"FALSOAsí lo sostuvo el diputado nacional por la Coalición Cívica. Los datos evidencian una caída en la inversión, pero no comparable con la de la crisis."
Falso,Pianelli: “[Desde el aumento del subte bajaron] 300 mil pasajeros diarios”
Falso,"VERDADEROEl sindicalista se refirió así a las consecuencias de la suba de la tarifa en enero de 2011. Los trenes también perdieron usuarios, mientras que los colectivos aumentaron."
Verdadero,"Sileoni: “Cuando yo iba a la escuela secundaria asistía menos del 40% de los jóvenes de mi edad, hoy asisten el 82%”"
Verdadero,"VERDADERO, PERO…El ministro de Educación se refirió así al aumento de la escolarización. Es cierto que hubo un fuerte proceso de expansión, aunque la exclusión persiste debido a la deserción."
Verdadero,CFK: “Hemos permitido que todos los partidos políticos (…) tuvieran el mismo e igualitario acceso a la publicidad electoral”
Verdadero,"La Presidenta se refirió a la ley sancionada en 2009, que significó un avance en el acceso de todos los partidos políticos a los grandes medios. Pero la no regulación de la publicidad oficial produjo inequidad en la competencia electoral al beneficiar a los oficialismos."
Falso,Costantini: “El gravamen [de la Ley de Hábitat] es absolutamente excesivo”
Falso,"DISCUTIBLEEl empresario criticó el porcentaje dispuesto por la ley que se tratará en el Senado bonaerense y puso el ejemplo de Nordelta, que ya aporta. Sin embargo, la propuesta es similar a lo que se hace en otros países."
Falso,"Alak: “[En las cárceles federales hay] condiciones de alojamiento adecuadas, sin el problema de la superpoblación”"
Falso,"DISCUTIBLEEl ministro de Justicia de la Nación se refirió a la situación en el sistema penitenciario. Aunque estadísticamente es así, el promedio esconde realidades diferentes entre las cárceles, algunas de las cuales tienen superpoblación."
Falso,Santilli: “La Ciudad es el único distrito que este año enterró menos basura en la CEAMSE”
Falso,EXAGERADOEl ministro de Ambiente y Espacio Público de la Ciudad se refirió así al conflicto por el entierro de desechos en los rellenos en la Provincia. Pero no es la única jurisdicción que disminuyó los aportes de basura.
Falso,Zamora: “La Argentina se extranjerizó más que en la época de Menem; profundizó la extranjerización”
Falso,"DISCUTIBLEEl dirigente político habló de la cantidad de empresas en manos extranjeras. Efectivamente su número creció desde la década del 90, aunque no existen datos posteriores a la estatización de YPF. "
Falso,¿La economía de Colombia superó la de la Argentina?
Falso,"FALSOEn declaraciones formuladas originalmente por el ex ministro de Economía de Colombia, y ratificadas por el ex funcionario Roberto Lavagna, se afirma que la Argentina cedió su posición como segunda economía de América del Sur. Sin embargo, ello es falso."
Falso,"CFK: “En toda la historia de la Argentina se habían construido, hasta el 2003, 8.000 km de líneas de alta tensión y desde el 2003 a la fecha hemos construido 5.500 km”"
Falso,"EXAGERADODurante la gestión de los Kirchner se amplió la red de alta tensión de 500 kv, pero no tanto como afirmó la Presidenta. El mayor impulso se dio desde 2008."
Falso,¿Las provincias más necesitadas son las que menos recursos reciben?
Falso,"VERDADEROLa senadora de Salta, Sonia Escudero, criticó el proyecto oficial por no privilegiar el gasto en las provincias que tienen mayores índices de pobreza y necesidades básicas. Los datos confirman sus dichos."
Verdadero,CFK: “En [los] Estados Unidos para medir la inflación no los toman [a los alimentos y a la energía]”
Verdadero,"FALSOLa Presidenta afirmó que la baja tasa de inflación en ese país se debe a que la medición no incluye la energía ni los alimentos, pero en realidad la medición sí los toma en cuenta."
Falso,Clarín: “El Gobierno generó la mitad de los empleos que dice haber creado”
Falso,"ENGAÑOSOEl diario tituló desmintiendo una de las frases habitualmente citada como logro por el Gobierno nacional. Sin embargo, se mezclan distintos conceptos. Por otro lado, la presentación que hacen de las estadísticas laborales algunos funcionarios no siempre es clara."
Falso,¿Son ilegales las retenciones al biodiesel?
Falso,"DISCUTIBLEEl columnista Carlos Pagni afirmó en La Nación que los decretos que modificaron las alícuotas exceden las facultades del Ejecutivo. Existe, empero, un debate sobre la caducidad de la potestad que tiene el PEN para fijar este tipo de impuestos."
Falso,"Kicillof: “Los impuestos progresivos representaban el 23% [en los ´90], y ahora representan el 43% del total de la recaudación”"
Falso,"VERDADERO, PERO...El viceministro aludió de este modo al cambio hacia la progresividad del sistema tributario argentino, algo que confirman los datos. Los especialistas hacen notar, empero, ciertas limitaciones en ese proceso."
Verdadero,"Lozano: “[La industria] es sólo del 17% del PBI, igual que en la década del 90″"
Verdadero,"VERDADERO, PERO…El diputado discutió así que se esté asistiendo a un proceso de reindustrialización en el país. Las cifras son similares a las citadas, pero esconden una realidad más compleja."
Verdadero,Macri: “La Ciudad cumplió con el fallo de la Corte Suprema y reglamentó el aborto no punible mediante un protocolo”
Verdadero,"FALSOEl jefe de Gobierno porteño aseguró que el veto de la ley que reglamentaba los casos de aborto no punible no impide el acceso a este derecho, garantizado por la Corte Suprema. Sin embargo, los especialistas señalan lo contrario."
Falso,De Gennaro: “Los trabajadores de las fuerzas de seguridad pública pueden sindicalizarse”
Falso,"DISCUTIBLEEl diputado habló sobre la posibilidad que los trabajadores de las fuerzas de seguridad puedan agremiarse. Hoy el Ministerio de Trabajo no lo permite, aunque la legislación no es clara al respecto."
Falso,D’ Elía: “[En el 2001] teníamos 8 millones de desocupados y 185 mil fábricas cerradas”
Falso,"EXAGERADOEl dirigente señaló cifras sobre la situación del país en la crisis del 2001. Los datos oficiales coinciden en la orientación, pero no así en las cantidades."
Falso,"CFK: “Los programas sociales representan el 1,2% de nuestro PBI y son los más importantes de Latinoamérica”"
Falso,DISCUTIBLEEl porcentaje citado es correcto. La ubicación relativa a la región depende de los criterios de ponderación que se utilicen.
Falso,"Rossi: La ley de “superpoderes” “está vigente desde 2006 y nunca ningún jefe de Gabinete la utilizó en más del 1,5 o 1,8% del monto total del presupuesto”"
Falso,"VERDADERO, PERO…Los montos que la Jefatura de Gabinete reasigna desde ese año son similares a los mencionados por el diputado. Sin embargo, Rossi omitió referirse a las ampliaciones del presupuesto y a los DNU, que alcanzan valores relevantes respecto del presupuesto inicial."
Verdadero,Pianelli: “No debe haber ciudad en el mundo que no subsidie su transporte público”
Verdadero,"VERDADEROEl dirigente sindical afirmó que de eliminarse el subsidio la Ciudad sería una excepción. Efectivamente, bajo distintas modalidades, se trata de una práctica común en el mundo."
Verdadero,Adolfo Rodríguez Saá: “Nadie habla del voto de los extranjeros (…) que son millones”
Verdadero,"FALSOEl senador puntano criticó así la iniciativa oficial, pero los números no muestran que esa sea la magnitud de los votantes que se incorporarían."
Falso,CFK: “[La Argentina es] el cuarto exportador mundial de contenidos audiovisuales”
Falso,"Exagerado La Presidenta se refirió al rol del país en este tipo de industria. Aunque es cierto que aparece en los primeros puestos de rankings internacionales, el cuarto lugar se refiere a los formatos televisivos y no al sector en general."
Falso,Massa: “El voto electrónico es importante para romper las manipulaciones”
Falso,"INSOSTENIBLEEl funcionario dio a entender que con este sistema se terminaría con las irregularidades en los procesos electorales bonaerenses, pero no existen datos ni experiencias que lo avalen."
Falso,Bossio: “No hay deuda con la provincia de Córdoba”
Falso,DISCUTIBLEEl director de la ANSES aseguró que no tenía obligación de pagar los montos comprometidos en 2009. Pero no están claros los criterios bajo los cuales tal cosa puede afirmarse.
Falso,CAME: “Hoy la industria argentina es la base del empleo”
Falso,"EXAGERADOSi bien es cierto que aumentó el empleo en el sector, las cifras censales del INDEC y otras fuentes oficiales, no confirman tal rol de la industria."
Falso,De Vido: “Hoy el 75% de la población está en condiciones de recibir la televisión digital”
Falso,"VERDADERO, PERO...La afirmación del ministro coincide con la información disponible. Así, la Argentina es el país más avanzado de la región en la materia, pero no todos los que están cubiertos hoy acceden a la televisión digital."
Verdadero,Vidal: “El presupuesto que se destina a salud es el 20% del total”
Verdadero,"ENGAÑOSOLa vicejefa del Gobierno porteño utilizó este argumento para defender la gestión sanitaria actual. Aunque el dato es exacto, durante el período 2008-2011 se registró la inversión promedio más baja en salud desde el año 2000."
Falso,CFK: “El tipo de cambio no está retrasado”
Falso,"FALSOLos cálculos de Chequeado.com, que toman como base datos oficiales del país, de los Estados Unidos y de Brasil, no permiten coincidir con tal afirmación."
Falso,Piñera: “La pobreza en Chile está disminuyendo”
Falso,"INSOSTENIBLEEl mandatario aseguró que la cantidad de personas por debajo de la línea de la pobreza disminuyó entre 2009 y 2011, pero una investigación del sitio CIPER muestra irregularidades en el método de análisis estadístico."
Falso,Alfonsín: “La Nación debe coparticipar como mínimo según ley el 34% de lo que recauda [pero] sólo le manda el 24% [a las provincias]”
Falso,FALSOEl diputado radical habló de la coparticipación y afirmó que el porcentaje que se distribuye está por debajo de la ley. La comparación entre las cifras no es correcta.
Falso,"CFK: “De aquellos 200 pesos a estos 2875 [el aumento del salario mínimo, vital y móvil] significa un 1338%”"
Falso,"ENGAÑOSOLa suba mencionada por la Presidenta no considera el aumento de precios. El período tomado oculta, además, un comportamiento no uniforme en la evolución del SMVM, que incluso cayó en términos reales desde su última actualización en 2011."
Falso,Pagni: “La producción de YPF va cayendo mes a mes”
Falso,"APRESURADOAunque en los últimos años la producción de la empresa ha caído, a partir de abril se ve un leve aumento. Los especialistas consultados destacan, de todas maneras, que es prematuro evaluar los resultados obtenidos por la gestión estatal."
Falso,Giorgi: la Argentina “tuvo el crecimiento más importante de su historia”
Falso,"EXAGERADOLa ministra de Industria lo aseguró en su exposición en el Consejo de las Américas. Si bien el período iniciado en 2003 fue uno de los de mayor crecimiento, no es el más importante desde 1810."
Falso,Rogelio Frigerio: “La Argentina tiene una presión impositiva similar a la de los países nórdicos”
Falso,"EXAGERADOEl legislador porteño afirmó que la carga impositiva del país es igual a la de los que más impuestos cobran, pero está a varios puntos de la mayoría de estos países."
Falso,Alberto Pérez: “Somos la provincia del país que más invierte en términos relativos en educación”
Falso,VERDADEROEl jefe de Gabinete bonaerense se refirió al gasto educativo como porcentaje del presupuesto. Los datos indican que Buenos Aires es la provincia que más esfuerzo financiero realiza.
Verdadero,La Nación: “La Argentina [posee] una rotación claramente deficiente”
Verdadero,El diario La Nación afirmó que la rotación de cultivos nacional no es óptima. Los expertos y los datos coinciden.
Verdadero,Tomada: “El 80% de los trabajadores [rurales] no está registrado”
Verdadero,"VERDADEROEl ministro de Trabajo lo anunció luego de la auditoría al ex-Renatre. Aunque no existen cifras exactas, tanto los datos oficiales como los alternativos arrojan resultados similares."
Verdadero,Sileoni: “La cifra que manejamos [de incremento de la matrícula por la AUH] es de 120 mil nuevos estudiantes”
Verdadero,"INSOSTENIBLELo afirmó el ministro de Educación al hablar del impacto del beneficio. Sin embargo, las cifras del Ministerio no permiten afirmar que el incremento de la matrícula entre 2009 y 2010 -menor al mencionado por Sileoni- pueda ser atribuido a la AUH."
Falso,"Scioli: “Tenemos el 70% [de cobertura] de cloacas y agua potable, cuando hace 4 años teníamos el 40%”"
Falso,INSOSTENIBLELa afirmación del gobernador proviene de un cálculo que no se pudo verificar. Los datos censales -que miden el porcentaje de hogares efectivamente conectados a estos servicios- muestran un leve aumento en el acceso.
Falso,Macri: “Hace 5 años empezaron los paros en los subtes”
Falso,"FALSOEl jefe de Gobierno porteño dio a entender con sus declaraciones que las huelgas en el subterráneo afectan sólo a su gestión, pero la historia muestra otra cosa."
Falso,"Lavagna: “No se ha creado empleo en los últimos 3 años, excepto en el sector público”"
Falso,"FALSOEl ex ministro de Economía se refirió a la situación del empleo en la Argentina, una afirmación que no respaldan los datos disponibles."
Falso,Bonfatti: “Lo que nos debe [la ANSES] son 1.307 millones”
Falso,VERDADEROEl gobernador de Santa Fe mencionó una deuda que mantiene la ANSES con la provincia. La cifra coincide con la información del sistema previsional santafesino.
Verdadero,Mariotto: “Hoy hay una gran superpoblación en los penales bonaerenses”
Verdadero,"VERDADEROEl vicegobernador se refirió al estado del sistema penitenciario bonaerense, un dato que es respaldado por los datos del Ministerio de Justicia y Seguridad provincial."
Verdadero,"Feletti: “Por cada punto que crece el producto, las importaciones crecen tres puntos”"
Verdadero,"VERDADERO, PERO…El diputado oficialista habló de la relación entre las importaciones y el crecimiento del país. Aunque la relación no es tal con el PBI sí lo es con el PBI industrial."
Verdadero,Felipe Solá: “Hoy existe el mismo déficit de viviendas que en 2007”
Verdadero,"DISCUTIBLELa afirmación parte de un estudio en el que se considera a los inquilinos como “hogares con carencias habitacionales”, un tratamiento sobre el cual no existe consenso. Otra investigación muestra un leve descenso tanto en la tenencia irregular como en la precariedad de las viviendas."
Falso,Biolcati: “Con esas políticas (…) se destruyó el stock ganadero en la Argentina”
Falso,"EXAGERADO El presidente de la Sociedad Rural lo dijo en el tradicional discurso de la Exposición Rural. Es cierto que hubo una baja importante, pero no todo es atribuible a las decisiones del gobierno y parece exagerado hablar de una “destrucción”."
Falso,Prat Gay: “Nuestra única conexión relevante con el mundo es el precio de la soja”
Falso,"ENGAÑOSOEl diputado omitió la existencia de otros vínculos de importancia de la economía argentina con la global, que no transcurren por momentos tan favorables como el destacado como “único” por el ex presidente del Banco Central."
Falso,Abal Medina: “Este año es el año que más ingresos les han llegado a las provincias [por coparticipación]”
Falso,"ENGAÑOSOEl jefe de Gabinete de Ministros se refirió a las transferencias del Gobierno nacional a las provincias. Aunque es cierto que su monto aumentó, lo hizo a un menor ritmo que los años anteriores y no es posible saber si lo hizo en términos reales."
Falso,Piumato: “Hay más de un millón de trabajadores que no llegan [al salario mínimo]”
Falso,"DISCUTIBLELa mayoría de las estimaciones le dan la razón. Por otra parte, no existen cifras oficiales que permitan ratificarlas."
Falso,"Buenos Aires, ¿el primer mundo en mortalidad infantil?"
Falso,"VERDADERO, PERO…El ministro de Salud porteño, Jorge Lemus, afirmó que la Ciudad registra una tasa comparable con la de los países del primer mundo. El número coincide, pero no refleja cabalmente la realidad sanitaria."
Verdadero,Pignanelli: “La actividad automotriz está prácticamente igual que el año pasado”
Verdadero,FALSOLos datos disponibles sobre producción y exportaciones en el sector no respaldan los dichos del titular de SMATA.
Falso,"Clarín: “De las 32 leyes votadas desde diciembre, 23 las envió el Gobierno”"
Falso,"VERDADERO, PERO…El diario publicó una nota con las estadísticas de aprobación de leyes del Congreso. Aunque es cierto que la mayoría de ellas fue presentada por el Ejecutivo, el dato dice poco sobre la actividad del Congreso, y no es significativamente distinto de otros años."
Verdadero,Santilli: “[No hay] un gobierno que haya avanzado como nosotros en el cumplimiento de la ley de Basura Cero”
Verdadero,FALSOEl ministro porteño destacó los logros en el manejo de los residuos. Pero los resultados no muestran un avance.
Falso,"Nilda Garré: “Si vamos al (…) homicidio, la Argentina, según datos de Naciones Unidas, está muy por debajo de otros países latinoamericanos”"
Falso,"VERDADERO, PERO… La ministra de Seguridad comparó las cifras de homicidios de la región. El dato es cierto, pero parte de un índice del 2009 donde no se incluyó a la Provincia de Buenos Aires."
Verdadero,Binner: “A las jurisdicciones sólo llega [por coparticipación] entre el 25 y el 28 por ciento”
Verdadero,FALSOLos dichos del líder del Frente Amplio Progresista son desmentidos por los datos de los tributos que la Nación reparte por ley entre el conjunto de las provincias.
Falso,Verbitsky: “[Entre 2008 y 2011] Buenos Aires mermó [su recaudación] en 13.500 millones”
Falso,"En una columna dominical, el periodista afirmó que hubo una caída en la recaudación provincial bonaerense. Los datos oficiales dejan ver en cambio un aumento continuo desde el 2002."
Falso,Seis de cada diez mujeres presas lo están por “mula” o venta de drogas
Falso,"VERDADEROLo afirmó Silvia Martínez, defensora pública nacional. La gran mayoría de las mujeres del sistema federal está presa por delitos vinculados al narcotráfico."
Verdadero,Urtubey: “[Salta] es la provincia que tiene menos presupuesto por habitante (…) y no tenemos problemas ni necesidad de la ayuda de nadie”
Verdadero,"ENGAÑOSOEl gobernador de Salta se refirió a la situación fiscal de su provincia. Aunque es verdad que tiene uno de los gastos más bajos por habitante, gran parte de sus recursos provienen de la coparticipación federal."
Falso,CFK: La Argentina tiene el “mejor poder adquisitivo de América Latina para nuestros asalariados”
Falso,VERDADEROLa Presidenta aseguró que el país tiene el mejor salario en relación al costo de vida de la región. Los estudios disponibles muestran que esto es así.
Verdadero,Alperovich: “[Entre 2003 y 2011] creamos 300 mil empleos”
Verdadero,FALSOEl gobernador de Tucumán mencionó el dato como ejemplo de los avances de su gestión. Las estadísticas oficiales de la EPH desmienten sus dichos.
Falso,Lozano: “En los últimos seis meses se destruyeron 328 mil puestos de trabajo”
Falso,VERDADEROEl diputado cuantificó el descenso en la población ocupada. Los números le dan la razón.
Verdadero,Arlía: “Somos la provincia que menos recibe de coparticipación federal”
Verdadero,"VERDADEROEn términos relativos, Buenos Aires es la provincia a la que se le otorgan menos recursos en el régimen de coparticipación."
Verdadero,"Víctor Hugo: “No debe haber nadie, ni el Gobierno nacional ni Macri, que haya invertido en publicidad lo que ha invertido Scioli”"
Verdadero,FALSOEl conductor de un programa de Radio Continental se refirió al gasto de la gobernación de Scioli en este rubro. Los últimos datos oficiales que permiten hacer una comparación no sustentan sus dichos.
Falso,Kunkel: “Los índices de criminalidad y de delitos son superiores a los que eran [con Solá]”
Falso,INSOSTENIBLEEl diputado afirmó que los indicadores de seguridad aumentaron bajo la gobernación de Scioli. Pero los datos no permiten saber con certeza cuál fue la evolución de los delitos.
Falso,Página 12: “[Hay una] subrepresentación del Gran Buenos Aires en la Cámara de Diputados de la Nación”
Falso,El periodista Martín Granovsky afirmó que el Gran Buenos Aires tiene menos diputados de lo que le correspondería por la cantidad de habitantes. El análisis de la Cámara muestra esta distorsión.
Verdadero,Lavagna: “El empleo público tiene más personas que todo el empleo de la industria”
Verdadero,VERDADEROEl ex ministro de Economía se refirió a la estructura del mercado laboral. Su afirmación se sostiene con los datos disponibles.
Verdadero,Mariotto: “[Hoy hay] pleno empleo”
Verdadero,"FALSOEl vicegobernador de la Provincia de Buenos Aires criticó con este argumento, entre otros, el paro del Sindicato de Camioneros. Pero los datos no muestran una situación tan favorable."
Falso,"Según Sanz, el proyecto de reforma del nuevo Código Civil y Comercial reduce la responsabilidad del Estado"
Falso,"APRESURADOEl senador aseguró que el proyecto reduciría la responsabilidad del Estado y de los funcionarios, pero no es seguro que sea así.ADEMÁS...> La confusión sobre la pesificación"
Falso,"Según Lozano, los barrios cerrados ocupan el doble de superficie que la Ciudad"
Falso,VERDADEROEl diputado afirmó en un documento que las urbanizaciones privadas de la región metropolitana representan el doble que la superficie de la Ciudad. Los datos le dan la razón.
Verdadero,¿Es Gran Bretaña el país con más paraísos fiscales de todo el G-20?
Verdadero,VERDADEROLa afirmación fue utilizada por la Cancillería argentina para responder a las críticas del primer ministro inglés David Camerón.
Verdadero,CFK: “Somos el país que más celulares por habitante tiene de toda América”
Verdadero,"FALSOLa Presidenta se refirió al tema en un almuerzo en el Council de las Américas. Los últimos datos disponibles de la ONU ubican a Panamá en ese lugar. Además, ¿qué significa esto en términos de desarrollo tecnológico?"
Falso,Kicillof: “Los programas [de vivienda] han representado desde 2003 un total de más de 900 mil soluciones habitacionales”
Falso,"VERDADEROEl viceministro de Economía aludió así a la cantidad de viviendas y mejoramientos logrados desde la asunción de Néstor Kirchner, cifra que respaldan los números disponibles sobre el tema, pese a que no es lo mismo soluciones habitacionales que viviendas.ADEMÁS...>Kicillof: Duplicamos la cantidad de viviendas que se construyeron entre 1992 y 2002. ENGAÑOSO"
Verdadero,"Alak: “Si el contrato es en moneda extranjera, se deberá cumplir lo que establece el contrato”"
Verdadero,DISCUTIBLEEl proyecto de reforma y unificación del Código Civil y Comercial podría modificar la modalidad de pago de los contratos. No está claro por el momento cómo se definirá.
Falso,“Hemos garantizado la cobertura de todas las vacantes para los niños de 4 y 5 años”
Falso,VERDADEROLas cifras oficiales revelan que la cobertura total alcanzó los niveles mencionados por el ministro y que mejoró desde el año 2010.
Verdadero,Biolcati: “El 70% de los ingresos se va a través de la presión impositiva”
Verdadero,"DISCUTIBLE El dirigente rural habló de una carga impositiva excesiva. Los estudios basados en las leyes le dan la razón, pero no así los que consideran la recaudación efectiva."
Falso,Jorge Argüello: “Argentina no decrece en el monto de inversiones que recibe de EE.UU. sino que la tendencia es en alza”
Falso,VERDADEROEl embajador argentino en Washington se refirió a la evolución del stock de inversiones proveniente del país del Norte. Las cifras del Banco Central y la CEPAL respaldan sus dichos.
Verdadero,"Macri: “La cantidad de personas en situación de calle se mantiene estable, con una tendencia a disminuir”"
Verdadero,INSOSTENIBLEEl jefe de Gobierno se basó en el resultado de un censo difundido por el Ministerio de Desarrollo Social porteño. Éste último proviene de un operativo cuya metodología no se describe en detalle.
Falso,"Abal Medina: “Somos el segundo país con mayor circulación de dólares, con más de 1300 por habitante”"
Falso,INSOSTENIBLEEl Jefe de Gabinete aseguró en su presentación frente al Senado que la Argentina es el país con más dólares per capita fuera de los Estados Unidos. Pero la cifra data de 2006 y está cuestionada.
Falso,Santilli: “El gasto de la basura en el total del presupuesto alcanzó el piso histórico”
Falso,FALSOEl ministro de Ambiente y Espacio Público defendió así la gestión del gobierno local para reducir el costo en recolección de residuos. Los datos oficiales del Ministerio de Hacienda no respaldan sus dichos.
Falso,Aníbal Fernández: “El 11% de los argentinos compra dólares”
Falso,"DISCUTIBLESegún un informe del Banco Central esa sería la cifra, pero hay factores que hacen dudar de que ese sea el porcentaje."
Falso,"Según Morales, aumentó el desempleo"
Falso,"APRESURADOAunque se registró un aumento en el desempleo en el primer trimestre, se trata de un proceso cíclico que ocurre todos los años."
Falso,"CFK: “En la ciudad de Buenos Aires y en toda la campaña, según el censo de 1778, la mitad de la población eran negros”"
Falso,"FALSOEl censo citado por la Presidenta arroja que los habitantes africanos eran un 24% del total. Sin embargo, la envergadura real de la población resulta imposible de saber a ciencia cierta, puesto que muchos no figuraban en los padrones."
