tweet,autor,posicion_autor,rating
"Si quiere usted preocuparse de la sanidad española y de sus listas de espera ¿por qué no se pasa usted por Ceuta y Melilla y se preocupa por la única sanidad pública que no gestiona usted? Es decir, que la tiene con las mayores listas de espera de España.",Alberto Núñez Feijóo,Presidente del PP,Falso
"“Gobiernos del Partido Popular indultaron a miembros de Terra Lliure, sentenciados por terrorismo durante una investidura”",Pedro Sánchez,Presidente del Gobierno,Verdad a medias
“Usted dijo que Junts era el Le Pen de la política española y la ultraderecha xenófoba”,Alberto Núñez Feijóo,Presidente del PP,Verdad a medias
“3.847 millones de euros de déficit en el último año. El récord de la historia de la Comunitat Valenciana y el récord de todos los déficit de todos los déficit de todas las comunidades de toda España”,Carlos Mazón,Candidato al Gobierno de la Comunidad Valenciana,Engañoso
"“No es casualidad, según los datos de la EPA, que Madrid sea la única región española donde el paro ha bajado en octubre”",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Verdad a medias
“Tenemos una tendencia de declive en el País Vasco (...) hasta el 7% del PIB nacional era del País Vasco y ahora estamos por debajo del seis”,Javier de Andrés,Presidente del PP del País Vasco,Engañoso
“Éramos la comunidad autónoma con menos desempleo de España y ahora ya somos la cuarta”,Javier de Andrés,Presidente del PP del País Vasco,Verdad a medias
“Somos el país con el mayor incremento de deuda pública desde el año 2018 hasta ahora”,Alberto Núñez Feijóo,Presidente del PP,Falso
“España en el año 2022 ha tenido las mejores cifras de inversión extranjera en nuestro país desde que hay registros”,Félix Bolaños,"Ministro de la Presidencia, Relaciones con las Cortes y Memoria Democrática",Falso
“Hoy somos el país que tiene la inflación más baja de Europa”,Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Falso
"“Lo que es muy notable en este momento en España, y que es distinto del resto de países europeos, es el crecimiento de la población activa”",Nadia Calviño,Vicepresidenta primera y ministra de Asuntos Económicos y Transformación Digital,Verdad a medias
“Desde la perspectiva española estamos en una situación relativamente favorable porque la inflación está en una senda descendente”,Nadia Calviño,Vicepresidenta primera y ministra de Asuntos Económicos y Transformación Digital,Engañoso
"“En 2018 los catalanes soportaban una lista de espera media para una intervención quirúrgica de 132 días. Era la segunda peor comunidad autónoma de toda España y al cierre de 2022 ha subido a 154 días, es decir, 22 días más de lista de espera media que en el año 2018”",Alberto Núñez Feijóo,Presidente del PP,Engañoso
"""Los mismos partidos que pactaron la ley [de vivienda] en el Congreso de los Diputados la recurren en el Parlament de Catalunya""",Alberto Núñez Feijóo,Presidente del PP,Verdad a medias
“Hemos situado a España en el top 25 mundial de los países con mayor respeto a la ley según el Rule of Law Index”,Pedro Sánchez,Presidente del Gobierno,Verdad a medias
"“Registramos los mejores datos de empleo de nuestra historia. Hemos reducido la tasa de desempleo al 11%. Superamos en más de 20 millones de afiliados y, subrayo, afiliadas (...)”",Pedro Sánchez,Presidente del Gobierno,Engañoso
”(En 2022) Tuvimos prácticamente la misma renta per cápita que hace 15 años”,Alberto Núñez Feijóo,Presidente del PP,Engañoso
“Lamentablemente el precio de la electricidad en España es un 21% más caro que la media de la Unión Europea”,Alberto Núñez Feijóo,Presidente del PP,Falso
“Superamos los niveles de pobreza que teníamos en el año 2008. Y es que el 26% de la población española vive en umbrales de pobreza”,Alberto Núñez Feijóo,Presidente del PP,Verdad a medias
"“Ayer mismo aprobábamos nuestros presupuestos para que entren en tiempo y forma en vigor. Lo digo porque, mientras, los Presupuestos Generales del Estado parece que es la última preocupación de quien ahora mismo está gobernando”",Alfonso Rueda,Presidente de la Xunta de Galicia,Verdad a medias
“Ayer hubo elecciones en Polonia en la cual el Partido Popular polaco derrotó a la extrema derecha en las urnas”,Ernest Urtasun,Portavoz de Sumar,Engañoso
“En Lleida hemos sido la segunda fuerza política en las municipales”,Alberto Núñez Feijóo,Presidente del PP,Verdadero
"“La vivienda en Cataluña es uno de los lugares donde más ha subido, donde más hay ocupaciones ilegales de vivienda”",Alberto Núñez Feijóo,Presidente del PP,Engañoso
"“Los últimos datos económicos ponen de manifiesto que se está creciendo por debajo de la media europea, aquí, en esta tierra [Andalucía], y que, además, se está generando menos empleo que en el resto de España”",María Jesús Montero,Ministra de Hacienda y Función Pública,Falso
“Desde que tenemos la responsabilidad de gobierno en Andalucía hemos crecido económicamente más que la media europea y más que la media española”,Juan Manuel Moreno,Presidente de Andalucía,Engañoso
Una Grecia que ayer defendió una jornada laboral de 78 horas y 6 días de trabajo a la semana no es una anécdota,Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Verdad a medias
"“UPN es la fuerza mayoritaria en las elecciones autonómicas navarras (...). Y Coalición Canaria igual, ha sido la segunda fuerza política de Canarias, está gobernando en Canarias. Señor Rego [BNG], no ocurre lo mismo en su caso, porque el PP de Galicia tiene 23 diputados y usted tiene uno”",Alberto Núñez Feijóo,Presidente del PP,Engañoso
"""Un país como el nuestro, que ha vuelto a liderar el paro en Europa cuando había dejado de hacerlo, no puede aceptar el desempleo estructural que tiene""",Alberto Núñez Feijóo,Presidente del PP,Verdad a medias
"“[A ERC y Junts] Sus grupos no están correctamente formados""",Alberto Núñez Feijóo,Presidente del PP,Engañoso
“Somos la economía que más crece y más se prevé que crezca en la Unión Europea”,Óscar Puente,Diputado,Engañoso
"“Votaremos sí a poner en marcha una política educativa [...] no que, ante cifras de más de un 25% de abandono escolar, no haga nada”",Cuca Gamarra,Secretaria general del PP,Falso
“Hemos perdido más de 90.000 empleos en los últimos años [en industria]”,Alberto Núñez Feijóo,Presidente del PP,Engañoso
“Las okupaciones de inmuebles no paran de incrementarse”,Alberto Núñez Feijóo,Presidente del PP,Falso
"“Imagino que estará en Sevilla, la primera ministra de un Gobierno democrático, la señora Soledad Becerril”",Alberto Núñez Feijóo,Presidente del PP,Falso
"""Su único apoyo es el de Vox, su único apoyo, que gobiernan gracias a ustedes en comunidades autónomas y también en ciudades. Por ejemplo como en Cantabria, donde esta semana nos han sorprendido, o no, poniendo en cuestión y diciendo que van a derogar la ley de memoria histórica cántabra""",Aina Vidal,Diputada,Engañoso
“La economía acusa la falta de casi un millón de trabajadores”,Alberto Núñez Feijóo,Presidente del PP,Falso
"""Cuando más ha crecido el País Vasco económicamente ha sido cuando ha gobernado el PP. Eso es algo evidente"".",Cuca Gamarra,Secretaria general del PP,Engañoso
"“Con ustedes, el incremento del salario mínimo está por debajo del incremento de los precios y con nosotros el incremento del salario mínimo supera el incremento de los precios”",Alberto Núñez Feijóo,Presidente del PP,Engañoso
“Hemos juntado más gente que ningún otro acto político en la democracia”,Partido Popular (PP),Partido político,Falso
“Y en términos generales el precio de los alimentos en España sigue estando por debajo de los países de nuestro entorno”,Nadia Calviño,Vicepresidenta primera y ministra de Asuntos Económicos y Transformación Digital,Engañoso
“55.000 empresas menos durante los gobiernos de Sánchez”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
"""Y esto es algo de lo que los nacionalistas no hablan nunca. No nos explican por qué el índice de uso del euskera, por ejemplo, en la sociedad va bajando. El conocimiento aumenta pero el uso baja""",Borja Sémper,Diputado del PP,Engañoso
"“Desde la designación que les hizo el rey hasta el momento, no han conseguido ni un voto más de los que tenían, solo han sido capaces de convencer a los votos de la ultraderecha”",Pilar Alegría,Ministra de Educación y Formación Profesional,Engañoso
“[Andalucía] es la comunidad autónoma con el mayor descenso del paro en julio”,Juan Manuel Moreno,Presidente de Andalucía,Engañoso
"“Por poner un dato de referencia, en el mes de julio superamos los 10 millones de visitantes en nuestro país. Nunca antes hemos alcanzado esa cifra en el mes de julio”.",Héctor Gómez,"Ministro de Industria, Comercio y Turismo",Falso
”¿Por qué todos los rankings de educación en el País Vasco nos dan en la cola de España?”,Borja Sémper,Portavoz de campaña del PP,Falso
"“España es el país más competitivo del mundo como destino turístico, lo dice el Foro Económico Mundial”",Héctor Gómez,"Ministro de Industria, Comercio y Turismo",Verdad a medias
"”(...) un acuerdo de los dos grandes partidos [PP y PSOE], que sumados tienen el 94% de los votos”",Alberto Núñez Feijóo,Presidente del PP,Falso
"“Una intervención quirúrgica, una consulta, una prueba diagnóstica en Castilla-La Mancha se retrasa más que en el resto de la media de las autonomías, como norma general”.",Paco Núñez,Presidente del PP de Castilla-La Mancha,Falso
”El salario medio en nuestro país es de 1.500 euros”,Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Engañoso
“El Partido Nacionalista Vasco a lo largo de toda su trayectoria política de las últimas décadas ha respaldado siempre al partido que había ganado las elecciones”,Borja Sémper,Portavoz de campaña del PP,Engañoso
"”España es el país de la OCDE en el que más ha crecido la renta de las familias: un 5,4% solo en el último año”",Nadia Calviño,Vicepresidenta primera y ministra de Asuntos Económicos y Transformación Digital,Falso
“De hecho Navarra es la comunidad con menor tasa de desigualdad en todo el Estado”,María Chivite,Presidenta de Navarra,Engañoso
“El Partido Popular ganó las elecciones con Aznar y el Partido Socialista de González se abstuvo”,Elías Bendodo,Coordinador general del PP,Falso
"""Somos el país más endeudado de la OCDE""",Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
"“El partido del señor Feijóo, con el señor Abascal, se han cargado la Consejería de Medio Ambiente en la Comunidad Valenciana”",Pedro Sánchez,Presidente del Gobierno,Falso
La presidenta de la Comisión Europea (...) se reúne con todos los grupos parlamentarios del Parlamento Europeo (...). Hay un partido con el que no se reúne nunca desde el inicio de su mandato: el partido de la ultraderecha de Vox,Pedro Sánchez,Presidente del Gobierno,Verdad a medias
"“Señor Abascal, no han votado a favor de ninguno de los decretos de ERTE de nuestro país”",Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Falso
"“Con el patriotismo de Bildu, esa fuerza política tan respetable, han aprobado ustedes una reforma laboral”",Santiago Abascal,Presidente de Vox,Falso
"“Hemos hecho 660 millones de horas (trabajadas), un 22% más”",Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Engañoso
"“Tenemos más trabajadores en la agricultura que nunca; 750.000, más que nunca”",Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Engañoso
"“Nunca antes habíamos tenido tantos jóvenes empleados y la tasa juvenil más baja""",Pedro Sánchez,Presidente del Gobierno,Engañoso
"“Porque ¿sabe lo que dice en su programa, usted, señor Abascal? [...] Es prohibir las huelgas, es prohibir la negociación colectiva”",Yolanda Díaz,Candidata a la Presidencia de España,Engañoso
“Medio millón de españoles se quedan sin votar” (sobre los datos del voto por correo),Ana Vázquez Blanco,Diputada,Falso
"“[En referencia al PP] Nunca subieron las pensiones por encima del IPC, es mentira. En 2012 subió las pensiones al 1% y el IPC estaba al 2,4%. En el 2017 subieron las pensiones al 0,25% y el IPC estaba al 2%”",Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Engañoso
"“En 2018, el Ebro tiró al mar en solo 20 días el consumo de España de todo un año”",Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Falso
"“Sobre el negacionismo, Vox propone suprimir la Agencia Estatal de Meteorología”",Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Engañoso
“En el País Vasco tenemos un problema y es que llevamos diez años perdiendo población”,Beatriz Álvarez Fanjul,Diputada,Falso
"“Es mentira que el señor Feijóo, como dijo el otro día, dejara la deuda más baja de todas las comunidades autónomas. Hay 10 comunidades autónomas que tenían menos deuda que la gallega”",Patxi López,Portavoz del PSOE en el Congreso,Engañoso
“Lo que estamos liderando es el paro femenino y el paro juvenil. Eso es donde ustedes nos han situado”,Cuca Gamarra,Secretaria general del PP,Verdad a medias
"""Estamos en récords de deuda pública: 200 millones de euros más de deuda nos genera este Gobierno a todos los españoles”",Cuca Gamarra,Secretaria general del PP,Verdad a medias
“Se han recaudado 40.000 millones de euros más de los que tenía previsto el Gobierno”,Cuca Gamarra,Secretaria general del PP,Engañoso
“Hemos aprobado la primera ley de vivienda de la democracia”,Aina Vidal,Candidata a diputada al Congreso,Verdad a medias
“La realidad es que tenemos la factura más baja de la energía gracias a la excepción ibérica”,Patxi López,Portavoz del PSOE en el Congreso,Engañoso
"“Quien más indultos ha hecho en la historia de la democracia fue Mariano Rajoy, que hizo 468 indultos”",Oskar Matute,Diputado,Engañoso
"“En los cuatro años de Pedro Sánchez, España ha sido el único país que ha visto reducida su renta per cápita; es decir, los españoles son los únicos europeos que hoy tienen menos que cuando llegaron al gobierno los políticos de hoy hace cuatro años”",Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Falso
“Los hurtos se han incrementado un 30%”,Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Verdad a medias
"""Con esta reforma laboral hemos reducido la temporalidad al 14%, lo nunca visto""",Pedro Sánchez,Presidente del Gobierno,Verdad a medias
"¿Para qué, señor Sánchez tiene usted 800 asesores en la Moncloa?",Alberto Núñez Feijóo,Presidente del PP,Engañoso
“Le voy a decir en qué dos comunidades autónomas en estos años se ha creado empleo público: en Galicia y en Castilla y León”,Nadia Calviño,Vicepresidenta primera y ministra de Asuntos Económicos y Transformación Digital,Engañoso
"“El problema es que del millón y pico de puestos de trabajo que ha generado este Gobierno, en torno a los 400.000, son de empleo público”",Juan Bravo,Vicesecretario de Economía del PP,Engañoso
“Nuestro proyecto (...) es mantener una de las energías más baratas de Europa”,Pedro Sánchez,Presidente del Gobierno,Engañoso
"“España va a terminar este año como la principal economía europea con el déficit más bajo, si nos comparamos con Francia, con Alemania”",Pedro Sánchez,Presidente del Gobierno,Engañoso
"“Soy un presidente de la comunidad autónoma [Galicia], lo fui, que menos ha incrementado la deuda de toda España”",Alberto Núñez Feijóo,Presidente del PP,Falso
"“Sobre el crecimiento económico. Nos está intentando trasladar a los españoles que la economía española va así, que vamos de primeros. Pero el problema de este gráfico es que está al revés. Es que somos los últimos en reconocimiento [crecimiento] del PIB”",Alberto Núñez Feijóo,Presidente del PP,Engañoso
“¿Usted sabe que tenemos menos autónomos que en el año 2019? ¿Usted sabe que tenemos 43.000 autónomos menos de acuerdo con la EPA que en el último año?”,Alberto Núñez Feijóo,Presidente del PP,Engañoso
"""Estamos reduciendo la deuda pública en 7 puntos de PIB”",Pedro Sánchez,Presidente del Gobierno,Verdad a medias
"“Escocia, Australia (...) y Alemania están revirtiendo leyes, reformando leyes trans que fueron pioneras en su día porque científicamente y socialmente se está demostrando que impactan de una manera muy negativa en los menores”",Borja Sémper,Portavoz de campaña del PP,Falso
"Sobre el voto de Sánchez en el Congreso: ""Eso no es cierto, Zapatero no congeló las pensiones. Dice una mentira a partir de una media verdad”",Pedro Sánchez,Presidente del Gobierno,Engañoso
“Su mandato nos cuesta a los españoles 200 millones de euros cada día”,Alberto Núñez Feijóo,Presidente del PP,Verdad a medias
[A Pedro Sánchez] “Hoy el juez ha archivado el caso [Pegasus] por falta de colaboración de usted”,Alberto Núñez Feijóo,Presidente del PP,Falso
“Tenemos por primera vez el número de gente joven en paro más bajo de nuestro país”,Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Verdad a medias
"“Un Gobierno (...) que además se atreve, en un momento de sequía, a volar las presas”",Santiago Abascal,Presidente de Vox,Engañoso
“200 millones de euros al día nuevos de deuda es lo que genera el Gobierno de Sánchez”,Elías Bendodo,Coordinador general del PP,Verdad a medias
"“Usted antes hacía referencia efectivamente al alto desempleo juvenil, pero ¿sabe cuánto se ha reducido la tasa de desempleo juvenil durante estos últimos años? (...) Seis puntos”",Pedro Sánchez,Presidente del Gobierno,Verdad a medias
"[¿Si hubieran tenido que subir las pensiones un 8,5% lo hubieran hecho?] “Pero si es que lo votamos a favor”",Juan Bravo,Vicesecretario de Economía del PP,Falso
“El Gobierno de España que no ha cumplido los requisitos para obtener los fondos europeos porque no ha aprobado ni las leyes ni las medidas que se exigen para poder obtener esos fondos europeos”,Alberto Núñez Feijóo,Presidente del PP,Falso
“Durante todo este tiempo los impuestos no han dejado de subir de forma imparable en tres años. La presión fiscal a los trabajadores ha crecido un 12% hasta el máximo de los últimos 15 años”,Alberto Núñez Feijóo,Presidente del PP,Engañoso
"“Siempre que hemos gobernado, el Partido Popular ha subido las pensiones de acuerdo con el IPC, incluso en algún caso superior al IPC”",Alberto Núñez Feijóo,Presidente del PP,Falso
“Podemos asegurar orgullosamente que Madrid fue la región de España en la que más bebés nacieron el año pasado”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
"“Nosotros hemos ganado en todas las comunidades autónomas, salvo en Asturias y en Castilla-La Mancha, y hemos empatado en Extremadura”",Alberto Núñez Feijóo,Presidente del PP,Engañoso
"“Estamos destinando 320 millones de euros en 2023 a políticas de violencia de género, cuando en 2018, en los últimos Presupuestos de Rajoy, se destinaban 80 millones”",Pedro Sánchez,Presidente del Gobierno,Engañoso
"“El coste de la vida se refiere a la subida en las cuotas hipotecarias que están sufriendo cuatro millones de familias en España, de las cuales el 80% de estas hipotecas son de carácter variable”",Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Engañoso
"“No puede ser que una peluquería tribute al 17,5% y una gran empresa lo haga al 3,9%”",Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Verdad a medias
"“Pero eso les aísla [al PP] en Europa. En Europa la derecha liberal, la derecha conservadora, no pacta con la extrema derecha”",Miquel Iceta,Ministro de Cultura y Deporte,Falso
"“De 10 okupaciones que se producen en España, cinco se producen en el área de Barcelona”",Alberto Núñez Feijóo,Presidente del PP,Falso
“Y en cuanto a las ayudas al transporte público (...) se incorporó para todo el ejercicio 2023 la bonificación por parte del Gobierno de España. Y aquí solamente puedo lamentar que el Gobierno de la Comunidad de Madrid haya anunciado justamente que retira la bonificación”,Nadia Calviño,Vicepresidenta primera y ministra de Asuntos Económicos y Transformación Digital,Falso
"“Resulta que ‘Europa obliga a España’ a hacer algo que España no puede hacer [explorar sus minas de tierras raras], porque está prohibido por la Ley de Cambio Climático a la que solo Vox se opuso”",Iván Espinosa de los Monteros,Portavoz de Vox en el Congreso,Falso
"“Por cada día de vigencia de la reforma laboral, que acaba de ponerse en marcha, casi 9.000 trabajadores con contrato indefinido más”",Pedro Sánchez,Presidente del Gobierno,Engañoso
"""Los indicadores económicos de España van bien, son indicadores estupendos, pero en Andalucía esos indicadores no se traducen de la misma manera, y hoy por hoy somos la Comunidad Autónoma con la menor renta per cápita, cuando nunca hemos ocupado ese escalafón""",María Jesús Montero,Ministra de Hacienda y Función Pública,Engañoso
"“Lo que dice la OCDE, analizando el trasfondo del informe, es que la economía española se ralentiza”",Cuca Gamarra,Secretaria general del PP,Engañoso
“El año pasado tuvimos también el récord en nuestro país de inversión extranjera”,Diana Morant,Ministra de Ciencia e Innovación,Engañoso
"""En algunas counidades, como Baleares, tenemos más votos que toda la izquierda junta, y yo espero que nadie interrumpa este cambio.""",Alberto Núñez Feijóo,Presidente del PP,Engañoso
“Nuestro amigo Capellán en La Rioja sacó una mayoría absoluta duplicando los votos”,Alberto Núñez Feijóo,Presidente del PP,Engañoso
"""Cinco puntos por encima de las últimas elecciones municipales, un crecimiento mayor que el de ninguna otra fuerza política, con distancias importantes respecto al resto de partidos, más de 9 puntos con respecto al segundo""",Alfonso Rueda,Presidente de la Xunta de Galicia,Engañoso
"""Somos la comunidad autónoma con mayor número de profesionales de la medicina por habitante, somos la segunda comunidad autónoma con mayor número de profesionales de la enfermería por habitante""",Pablo Zuloaga,Vicepresidente de Cantabria y candidato al Gobierno de la región,Engañoso
"“El informe de la pobreza dice que en el año 2022, en diciembre, estamos en los cuatro parámetros mejor que en el año 2018 y entonces no había pandemia ni había crisis económica”",Ángel Víctor Torres,Presidente de Canarias y Secretario General del PSOE Canarias,Verdad a medias
"“La realidad y los datos: aumento de homicidios 47%, Ministerio del Interior. Agresiones sexuales aumentan un 60%”",Rocío Monasterio,Diputada en la Asamblea de Madrid,Verdad a medias
"""En Madrid tenemos la mitad del abandono temprano de toda España: 13.600 niños el curso pasado""",Juan Lobato,Candidato del PSOE en la Comunidad de Madrid,Falso
"“Madrid es el territorio de toda España que más atracción de inversión extranjera ha traído. Es envidiable. Es que aquí en Canarias ha llegado el 0,03% tras su gestión según la CEOE”",Manuel Domínguez,Candidato al Gobierno de Canarias,Engañoso
“Proponemos volver a quitar el impuesto de sucesiones y donaciones que este gobierno socialista y sus satélites pusieron nada más llegar”,Fernando Clavijo,Candidato al Gobierno de Canarias,Verdad a medias
“Canarias es la comunidad autónoma más pobre en todo el territorio nacional. Ha crecido la pobreza con respecto a hace cuatro años”,Manuel Domínguez,Candidato al Gobierno de Canarias,Engañoso
"“La derecha [PP, Cs y Vox] (...) cuando han tenido la oportunidad de aprobar la reforma laboral en España (...) han votado en contra. La subida del salario mínimo interprofesional, han votado en contra, la subida de las pensiones, han votado en contra”",Pablo Zuloaga,Vicepresidente de Cantabria y candidato al Gobierno de la región,Engañoso
“Somos la segunda comunidad con las tasas [universitarias] más altas”,Mamen Peris,Candidata al Govern de la Comunidad Valenciana,Falso
“14.000 empresas menos que en el año 2008”,Carlos Pérez-Nievas,Candidato al Gobierno de Navarra,Engañoso
“Castilla-La Mancha es la comunidad donde más vas a tardar en ser operado”,Carmen Picazo,Candidata a la Presidencia de Castilla-La Mancha,Falso
“Defiendo a nuestros pueblos como la única región que ha sido capaz de aprobar una ley contra la despoblación”,Emiliano García-Page,Presidente de Castilla-La Mancha y candidato a la reelección,Falso
"""[Castilla-La Mancha] Es la primera en toda España en reducir el paro juvenil, y estábamos a la cola cuando entré de presidente""",Emiliano García-Page,Presidente de Castilla-La Mancha y candidato a la reelección,Verdad a medias
“Usted tiene ahora mismo aquí en Castilla-La Mancha el 47% de empresas inactivas”,David Moreno,Candidato al Gobierno de Castilla-La Mancha,Verdad a medias
"“Esta es la región [Castilla-La Mancha], la segunda, que más ha reducido el paro femenino que nos lo encontramos disparado”",Emiliano García-Page,Presidente de Castilla-La Mancha y candidato a la reelección,Falso
"""En fracaso escolar somos la tercera comunidad que tenemos un mayor dato de abandono escolar, en 2019 éramos la sexta, hemos ido a peor""",Carmen Picazo,Candidata a la Presidencia de Castilla-La Mancha,Falso
"“Hemos llegado al final de esta legislatura siendo la región de España (...) en la que más ha bajado el paro""",Emiliano García-Page,Presidente de Castilla-La Mancha y candidato a la reelección,Engañoso
"“Es lo que dicen los indicadores del Ministerio de Sanidad, con datos de 2022, que el 27,7% de riojanos [están] en espera para una atención quirúrgica para una operación”",Gonzalo Capellán,Candidato al Gobierno de La Rioja,Falso
"“Bajando impuestos hemos conseguido, precisamente, que se creen 9.000 empresas, seis cada día, durante los últimos cuatro años”",Fernando López Miras,Presidente de la Región de Murcia,Engañoso
“Hoy nadie puede llevarme a una sola obra por parte del ministerio o del PSOE que se esté ejecutando para proteger al Mar Menor”,Fernando López Miras,Presidente de la Región de Murcia,Falso
“La gestión cortoplacista del sistema sanitario actual ha creado una situación de colapso en las listas de espera quirúrgicas de más de un año [en La Rioja]”,Sonsoles Soriano,Candidata al Gobierno de La Rioja,Falso
“Se han bajado los impuestos a unos pocos y crecemos menos y creamos menos empleo que en el resto del país”,José Vélez,Candidato al Gobierno de la Región de Murcia,Verdad a medias
“[En Murcia] tenemos una región donde los salarios son los salarios más bajos”,María José Ros,Candidata al Gobierno de la Región de Murcia,Engañoso
“[Castilla León] es el único lugar donde se está construyendo una presa mientras en el resto de España las estáis tirando abajo”,Miguel Ángel Antelo,Candidato al Gobierno de la Región de Murcia,Engañoso
"“[Al PP] es increíble que hayan votado sistemáticamente, en el Gobierno de España, en contra de todas las subidas del salario mínimo interprofesional”",María Marín,Candidata al Gobierno de Murcia,Falso
"“Navarra está encabezando rankings en accidentes laborales y también, lamentablemente, en fallecimientos”",Laura Aznal,Candidata al Gobierno de Navarra,Engañoso
"""Tenemos un 47% de nuestros jóvenes menores de 25 años en paro""",Diego Canga,Candidato al Gobierno de Asturias,Engañoso
“[En Extremadura] tenemos unas listas de espera en Sanidad absolutamente escandalosas y no las hay en otras regiones de España”,Ángel Pelayo,Candidato al Gobierno de Extremadura,Verdad a medias
“La primera economía autonómica en España: Madrid. Segunda: Cataluña. Tercera: Andalucía. Ninguna de ellas gobernadas por el PSOE y menos por el tándem PSOE-Podemos”,María Guardiola,Candidata al Gobierno de Extremadura,Verdad a medias
"“Tenemos la tasa de paro juvenil más alta, no ya de España, más alta de Europa”",Adrián Pumares,Candidato al Gobierno de Asturias,Falso
"""[La inflación de los alimentos] Ha bajado en 3,5 puntos, la bajada más importante de la serie histórica""",Nadia Calviño,Vicepresidenta primera y ministra de Asuntos Económicos y Transformación Digital,Verdad a medias
“El dato del crecimiento de los seguros privados en Navarra del año 2015 al año 2022 se ha aumentado en un 73% (...) Navarra es la segunda comunidad en la que más se han incrementado los seguros privados en España”,Javier Esparza,Candidato al Gobierno de Navarra,Verdad a medias
"""Hemos pasado, gracias a ustedes... Éramos la envidia de toda España en materia sanitaria, [hemos pasado] a ser la tercera comunidad con más listas de espera en la primera consulta""",Javier García,Candidato a Gobierno de Navarra,Engañoso
“Aragón tiene muchos más impuestos propios que el resto de comunidades”,Jorge Azcón,Candidato del PP en Aragón,Engañoso
"""En ocho años, este gobierno ha construido 74 viviendas""",Jorge Azcón,Candidato del PP en Aragón,Falso
