clasificacion,texto
Verdadero,"Esta cifra coincide con los últimos datos disponibles, del Censo 2010. La educación inicial de calidad permite mejorar los aprendizajes futuros."
Falso,"Según Aníbal Fernández, tenemos menos pobreza que Alemania"
Falso,Las diferentes mediciones muestran que la población en situación precaria es mayor en la Argentina que en el país europeo.
Verdadero,Fraga: “Cristina en su primer gobierno no tuvo ningún paro; en el segundo van a ser cinco”
Verdadero,"Entre 2011 y 2015, la Presidenta enfrentó cinco huelgas, a diferencia de lo que ocurrió en su primera gestión. En un ranking que encabezan Alfonsín y De la Rúa, el período kirchnerista es el de menos paros en democracia."
Verdadero,"Moyano: “El promedio de salario de los trabajadores es de $6.000, $6.500”"
Verdadero,El líder sindicalista opositor lo señaló en un acto antes del paro general. Los ingresos medios están efectivamente en ese nivel.
Falso,Randazzo: “Macri en ocho años ha hecho menos subtes que De la Rúa en tres años de gestión de gobierno”
Falso,"La construcción de las líneas de subterráneo incluye diferentes etapas, que van desde la licitación a la inauguración, y que pueden suceder durante distintas gestiones. Depende del criterio que se utilice cambia cuál fue la gestión que más “hizo”."
Verdadero,"Galmarini: “Del total de jóvenes que no estudian ni trabajan en la Provincia de Buenos Aires, el 75% son mujeres”"
Verdadero,La proporción de mujeres entre los Ni-Ni es mayoritaria. Muchas se dedican a tareas domésticas y la situación es más marcada entre las más pobres.
Falso,Scioli: “[Fui yo] el que hizo un revalúo inmobiliario rural después de 50 años”
Falso,"El gobernador y precandidato presidencial fue quien llevó adelante una revaluación del valor de los terrenos que incidió en la presión fiscal. Hubo revalúos anteriores, como el de 1995, pero que no tuvieron impacto en el total recaudado."
Verdadero,Tiempo Argentino: “Macri cuadruplicó la deuda externa”
Verdadero,Los datos oficiales muestran ese incremento. La deuda también aumentó en términos relativos.
Falso,"CFK: “[La AUH, Aerolíneas e YPF], cada vez que votamos una de estas leyes en el Congreso lo hicimos en absoluta soledad”"
Falso,"De las tres iniciativas mencionadas una tuvo un gran apoyo de los partidos de la oposición, y otra fue producto de un decreto, por lo que no pasó por el Congreso."
Falso,Massa: “¿Sabe cuántos patrulleros por día gasta la Ciudad (en publicidad oficial)? 87. ¿La Provincia? 123”
Falso,"El cálculo de gastos en Publicidad está basado en estimaciones para 2015 y no en las cifras disponibles. Además, el costo de un “patrullero” surge de una fórmula no develada por el equipo de Massa que combina camionetas, autos y motos policiales."
Falso,Urtubey: “Salta viene creciendo fácil un punto y medio por arriba de la media nacional en los últimos diez años”
Falso,Los datos oficiales de la provincia muestran un crecimiento por debajo del Producto Bruto Interno (PBI) nacional.
Falso,De la Sota: “Yo gané en Córdoba rebajando el 30% de los impuestos y los mantuve a lo largo de 17 años”
Falso,"Si bien el Gobernador bajó en esa proporción algunos impuestos, el aumento de las alícuotas y la creación de nuevas tasas provocaron que la presión fiscal creciera y se encuentre en niveles récord, como en la Nación y los impuestos provinciales en general."
Verdadero,Niembro: “Aquí 500 mil chicos al año dejan de estudiar”
Verdadero,"Según estimaciones propias de Chequeado y de Cimientos con los últimos datos oficiales, el número mencionado por el periodista y dirigente del PRO es correcto. Los datos no indican, necesariamente, la salida definitiva del sistema educativo."
Verdadero,FIT: “En la Ciudad de Buenos Aires hay más de 500 mil personas en emergencia habitacional”
Verdadero,La cifra coincide con los habitantes de asentamientos informales o viviendas en malas condiciones y la Ciudad redujo los recursos destinados al área.
Falso,Mariana Gras: “[Las mujeres] ocupamos casi 40% de los puestos de conducción”
Falso,"Lo afirmó la directora del Consejo Nacional de la Mujer. En los cargos más altos del Poder Ejecutivo Nacional la proporción es menor, aunque en cargos más bajos llega a esa cifra."
Verdadero,CFK: “Nuestro país es el mejor de Latinoamérica para ser madre”
Verdadero,"La Argentina se ubica en esa posición, de acuerdo con un estudio de la ONG Save The Children que considera varios indicadores, entre ellos, la mortalidad materno-infantil y la educación formal."
Verdadero,Tiempo Argentino: “En los últimos tres años YPF duplicó la inversión y la actividad”
Verdadero,Los datos que la compañía presenta ante la Comisión de Valores de los Estados Unidos confirman esta evolución desde el inicio de la gestión estatal.
Falso,"Scioli: “[Si hubiera problema con las divisas], la industria de la Provincia estaría parada”"
Falso,El sector industrial provincial cayó entre 2013 y 2014. Las fuentes consultadas señalan que la desaceleración se relaciona más con la caída general del nivel de actividad y el sector externo que con los controles de divisas que se aplican desde 2011.
Falso,¿El Estado financia el programa “Ahora 12”?
Falso,"Un spot televisivo del Gobierno afirma que es así. En realidad, el financiemiento lo proveen diferentes actores de la transacción, aunque el Banco Central implementó políticas para promoverlo."
Falso,"Reutemann, sobre retenciones: “Muy pocos países del mundo tienen este tipo de impuestos”"
Falso,"Casi 30% de los países aplican estas restricciones, aunque lo hacen en casos puntuales y con alícuotas más bajas."
Falso,Kicillof: “Con la inflación más alta el mínimo debería estar en $13 mil y hoy es de $15 mil”
Falso,"El ministro de Economía argumentó así que el piso de Ganancias no es bajo. Es cierto que, utilizando el IPC Congreso, el valor real del mínimo hoy es mayor que en 2004, pero hubo otros años donde fue mayor, y hoy paga el tributo un porcentaje más grande de trabajadores que entonces."
Falso,Berni: “He detenido y enviado a la cárcel a más de 10 mil narcotraficantes”
Falso,"Entre 2012 y 2013, gran parte del período de gestión del secretario de Seguridad, la población carcelaria total aumentó en 2.000 detenidos y las infracciones a la Ley de Estupefacientes en un número cercano a 600. Aun considerando los presos en 2014 de todo el país, cuya cifra oficial final está sin publicar, su frase no se sostiene."
Verdadero,CFK: “Este Gobierno ha destruido más armas que ningún otro”
Verdadero,La cantidad de armas de fuego sacadas de circulación desde 2003 hasta la actualidad es más de siete veces mayor a las destruidas durante todas las Presidencias del período 1993-2002; aún así los especialistas señalan que la cantidad de armas ilegales en circulación continúa siendo un problema.
Verdadero,Stolbizer: “Hace 40 años solamente teníamos 8% de pobreza y el 3% de desocupación”
Verdadero,La precandidata a presidente de SurGen se refirió a la decadencia social de las últimas cuatro décadas a partir de dos indicadores que le dan la razón.
Verdadero,Lousteau: “Aumentó la desigualdad en la Ciudad. En el sur hay el doble de homicidios por habitante”
Verdadero,"Los homicidios crecieron entre 2012 y 2013, aunque la suba se dio exclusivamente en las comunas del sur. En esta zona se registran cinco veces más muertes por crímenes que en la región norte en relación a su población."
Falso,Infobae: “El conurbano tiene intendentes que gobiernan sus distritos hace 15 años en promedio”
Falso,"La cantidad de años promedio en el cargo es menor a la señalada, aunque es importante. Los especialistas destacan la ventaja de los oficialismos en la competencia por la Intendencia, así como ocurre con otros distritos."
Falso,Lifschitz: “La Nación ha privilegiado la inversión en rutas de otras provincias pero nada en Santa Fe”
Falso,"Santa Fe recibió partidas del Gobierno nacional, importantes en términos absolutos, pero por debajo del promedio nacional, si se tiene en cuenta la cantidad de habitantes de la provincia."
Verdadero,Del Sel: “Tres o cuatro pibes de cada 10 dejan la escuela. Y los que abandonan quedan fuera”
Verdadero,Los datos de deserción escolar respaldan lo dicho por el candidato del PRO. Pero los que abandonan no “quedan fuera” sino que reingresan con sobreedad y se titulan en educación de adultos o modalidades alternativas.
Verdadero,"Según Scioli, su gestión logró la “tasa más baja de desempleo”"
Verdadero,"Los niveles de desempleo más bajos en los últimos veinte años se dieron durante su gobierno en la Provincia, pero volvieron a subir en el último año."
Verdadero,Méndez: “La Argentina es el segundo país en inflación mundial”
Verdadero,"Según el IPC Congreso, la Argentina se posiciona segunda entre los países con mayor inflación. El país se ubica tercero si se consideran los datos oficiales y el IPC 9-Provincias del Centro CIFRA."
Verdadero,Carlés: “Nadie paga el impuesto a las ganancias en el Poder Judicial”
Verdadero,"La mayoría de los miembros de los Poderes Judiciales nacional y provinciales no tributa Ganancias. Existen algunas provincias donde lo hacen; el Poder Ejecutivo Nacional, por su parte, podría exigir el pago pero no lo hace."
Falso,Durán Barba: “En el PRO hay una apertura total al matrimonio igualitario”
Falso,"Dentro del partido un sector llevó adelante políticas públicas a favor de la no discriminación por orientación sexual. Pero no hubo un apoyo total a la norma que legalizó la unión entre personas del mismo sexo, y muchos votaron en contra."
Verdadero,Clarín: “Cada 5 minutos una chica menor de 20 años es mamá”
Verdadero,Los datos confirman la frecuencia del embarazo adolescente y muestran que el fenómeno se mantiene desde hace varios años.
Falso,Aníbal Fernández: “La renta financiera el único que la gravó ha sido este Gobierno”
Falso,"No fue ésta la única administración que reguló la renta financiera. Durante las presidencias de Perón y De la Rúa también se establecieron impuestos. Pero estos fueron derogados, mientras que la reforma que aprobó el Congreso en 2013 -que grava los dividendos y acciones- está vigente."
Falso,Michetti: “No se hicieron nunca en la historia de la Ciudad inversiones en infraestructura escolar como en nuestra gestión”
Falso,"Los montos reales de inversión durante la gestión PRO son los más altos desde 2003. Sin embargo, la participación de ese ítem como porcentaje del presupuesto total se redujo a diferencia de otras partidas con montos similares, como Publicidad."
Falso,Frigerio: “Vetamos muchas menos leyes que el Gobierno nacional”
Falso,"El jefe de Gobierno porteño actual vetó más leyes que el Poder Ejecutivo Nacional. Esto se debe, en parte, a que el PRO no contó con mayoría propia en la Legislatura. El sistema porteño no permite la promulgación parcial de leyes."
Verdadero,CFK: “Cuando Néstor [Kirchner] llegó al Gobierno (…) los jubilados representaban el 66%”
Verdadero,La cantidad de personas en edad de jubilarse aumentó desde ese piso hasta llegar a una cobertura mayor al 90% en la actualidad.
Verdadero,"Massa: “De cada $100 que los misioneros pagan de impuestos, $76 se los lleva Cristina”"
Verdadero,"El precandidato a presidente del Frente Renovador lo puso como ejemplo de la centralización de los recursos. Si bien el gobierno nacional se queda con la mayor parte, una porción importante se destina a la ANSES, que cubre jubilaciones en todo el territorio."
Falso,Micheli: “Cada vez hay más trabajadores en negro en nuestro país”
Falso,"El empleo no registrado aumentó entre 2013 y 2014; pero la tendencia muestra que la proporción de trabajadores en esta situación no crece, como dijo el secretario general de la CTA opositora, sino que está estancada desde 2010."
Verdadero,Clarín: “Aprenden menos los alumnos del Norte del país”
Verdadero,"Esa región posee, efectivamente, bajos resultados en los exámenes de calidad educativa y sus provincias se ubican lejos del promedio nacional."
Verdadero,"Recalde: “La empresa tiene todos sus balances presentados, auditados y aprobados por la AGN”"
Verdadero,"El presidente de Aerolíneas dijo que la información es pública y pasó por el control de la Auditoría General de la Nación. Esto es cierto en el caso del último informe, pero en los anteriores hubo deficiencias."
Verdadero,La Nación: “La Argentina tiene hoy la mayor presión tributaria de su historia”
Verdadero,"La carga impositiva en nuestro país aumentó considerablemente en la última década y es la más alta desde 1970. La Argentina se ubica segunda en la región y por debajo de los porcentajes de los países de la OCDE, pero sin niveles de prestación de servicios equiparables."
Falso,De Narváez: “Tenemos más de 100 mil maestros que no trabajan”
Falso,"No hay información oficial que sostenga estos dichos. El estudio que el precandidato a gobernador por el Frente Renovador usó como fuente es sobre cuatro municipios y no es extrapolable al total provincial, según los expertos. Aún así, faltan datos para dimensionar el ausentismo docente."
Falso,Berni: “En la Argentina no se producen drogas”
Falso,"Es cierto que la materia prima de la cocaína no se elabora localmente, pero partes del proceso sí se realizan hoy en el país."
Falso,Príncipe: “El 20% de los productores hace el 80% de los granos”
Falso,"Los últimos datos disponibles son inferiores y datan de 2002, por lo que no es posible saber cuál es la situación actual de la producción agrícola."
Verdadero,Donda: “[Naciones Unidas] ha recomendado a los Estados miembros que consideren abandonar el uso de armas eléctricas Taser”
Verdadero,El organismo internacional manifestó varias veces en casos de otros países la reticencia frente a este tipo de armas.
Verdadero,CFK: “[Invertimos] más de US$1.200 millones en trenes para pasajeros en todo el AMBA”
Verdadero,"El Gobierno nacional adquirió 974 coches 0km para los trenes metropolitanos urbanos por un total de más de US$ 1.100 millones, algo que no ocurría desde 1985. Si se suman otras compras dentro de esa región pero de media distancia, se llega al número citado por la Presidenta."
Verdadero,Sanz: “Nueve de cada diez votaciones en el Parlamento las hemos hecho con el PRO”
Verdadero,"Ambas fuerzas votaron igual en la mayoría de las votaciones desde 2014. Sin embargo, estas coincidencias se dieron también con otros bloques de la oposición en el Congreso, como el Frente Renovador de Sergio Massa."
Verdadero,#ChequeadoMacri: “Son 250 mil chicos de los primarios porteños que han recibido su netbook”
Verdadero,"El Gobierno de la Ciudad de Buenos Aires entregó esa cantidad de computadoras a través del Plan Sarmiento. Las netbooks mejoran el acceso a la tecnología y el desarrollo de nuevas capacidades, aunque no se logran sólo con la entrega."
Verdadero,Lousteau: “El número de casos de mortalidad infantil en la Ciudad aumentó”
Verdadero,"Si se mira la evolución en el tiempo, que los especialistas aconsejan tomar, las muertes infantiles aumentaron en el promedio de los últimos tres años con respecto a los dos trienios anteriores."
Falso,Pagni: “Casación estableció que cualquier delito ligado a la investigación del atentado contra la AMIA es crimen de lesa humanidad”
Falso,"El máximo tribunal en materia penal del país no estableció esto, sino que dijo, en el caso “Galeano”, que deberá determinarse en el juicio oral si el encubrimiento del antentado a la AMIA es una grave violación a los derechos humanos, una categoría diferente y con diverso alcance que la de crimen de lesa humanidad."
Verdadero,Rodríguez Saá: “San Luis no tiene ninguna villa”
Verdadero,"En la provincia puntana no existen asentamientos precarios. Se trata de una de las jurisdicciones que mayores fondos automáticos para vivienda recibe por habitante, pero de las que menos obtiene de los programas discrecionales de Nación."
Falso,"Según Recalde, el aumento de la tarifa del subte dejó al 20% de los pasajeros afuera"
Falso,"Durante el primer año de aumento hubo una baja importante, pero luego tuvo otras variaciones. También impactó la suba de los pasajes de colectivos dispuesta por el Gobierno nacional."
Verdadero,"Lorenzetti: “[El Poder Judicial] nunca va a ser popular, porque sería un error que los jueces busquen la popularidad”"
Verdadero,"Según los especialistas, la Justicia es un poder contramayoritario. La Constitución argentina propone al Poder Judicial como el garante de los derechos de las minorías frente a los otros poderes del Estado, que representan a las mayorías."
Falso,Randazzo: “Los únicos coches 0km que tiene el Gobierno de la Ciudad son los adquiridos por Nación para la Línea A”
Falso,"Los coches nuevos que hoy circulan en el subte son sólo los 45 que compró el Gobierno nacional, pero la gestión de Mauricio Macri adquirió más de 200 para ésta y la Línea H que también son 0km."
Verdadero,Gollán: “[El aborto] es una causa de muerte materna”
Verdadero,Se trata de la principal causa de mortalidad vinculada con el embarazo.
Falso,#ChequeadoScioli: “Bajaron un 35% los homicidios en ocasión de robo”
Falso,"El gobernador bonaerense habló de un descenso a raíz de las acciones ligadas con la emergencia de seguridad decretada en 2014, pero no hay datos públicos que permitan corroborar su afirmación."
Falso,Lorenzetti: “La sentencia por la causa del atentado a la Embajada de Israel es cosa juzgada”
Falso,"El fallo de 1999 que citó el presidente de la Corte no cerró el caso sino que ordenó continuar con algunas líneas de investigación. Además, una sentencia de 2006 sobre la prescriptibilidad del delito ratifica que la causa continúa abierta."
Verdadero,#ChequeadoScioli: “Alcanzamos la tasa de mortalidad infantil más baja de la historia”
Verdadero,"El gobernador bonaerense señaló un logro confirmado por los datos, que ubica a la Provincia en la misma tendencia que el resto del país."
Falso,#ChequeadoMacri: “Estamos cada día más cerca de cumplir los objetivos de la Ley de Basura Cero”
Falso,"Si bien se redujo la disposición de residuos, se hizo en menor medida que lo establecido en la Ley de Basura Cero y el compromiso que el Jefe de Gobierno porteño asumió en 2012."
Falso,#ChequeadoMacri: “Logramos reducir en más de un 50% la disposición final de residuos”
Falso,El porcentaje de basura enterrado que logró disminuir el Gobierno de la Ciudad es menor a lo declarado por el jefe de Gobierno en su último discurso de apertura de la Legislatura porteña.
Falso,"Según Verbitsky, el presupuesto de inteligencia del Ejército creció por debajo del presupuesto del Ministerio de Defensa"
Falso,"Desde que Milani fue designado al frente de Inteligencia del Ejército los montos crecieron por encima del Ministerio de Defensa, la Inteligencia de las Fuerzas Armadas y la ex SIDE. Desde 2012, en cambio, el incremento sí es menor a la variación en Defensa."
Falso,"Santilli: “El juego no lo maneja la Ciudad, nosotros no somos parte [del acuerdo firmado por Ibarra]”"
Falso,"El senador por el PRO aseguró que el juego no es competencia del Gobierno porteño. Sin embargo, la Ciudad es parte del acuerdo firmado con el Gobierno nacional en 2003, que fue sucesivamente renovado por la actual gestión."
Falso,"CFK: “Un hogar argentino consume cuatro veces más [energía que] Brasil, tres veces más que Chile y Uruguay”"
Falso,"La demanda energética es mayor a la de los otros países de la región, pero las diferencias no son tan marcadas como señaló la Presidenta."
Verdadero,"Malena Baro: “Scioli destinaba el 2,24% del presupuesto provincial a Vialidad, hoy descendió al 1,10%”"
Verdadero,La proporción de dinero destinada al área cayó a la mitad durante la gestión del actual Gobernador bonaerense. Los montos efectivamente gastados son incluso menores a los aprobados.
Falso,Macri: “Hemos comprado más de 300 coches nuevos”
Falso,"El Gobierno porteño adquirió un total de 377 coches de subte. Aunque la mayoría son formaciones nuevas, no se trata en todos los casos de trenes 0 km."
Verdadero,Clarín: “El desempleo en la Argentina está entre los más altos de la región”
Verdadero,"VERDADEROEl país tiene un desempleo superior a la mayoría de los países de Sudamérica, e incluso es más alto que el promedio de América Latina."
Falso,"Sapag: “Neuquén tenía el índice de mortalidad infantil más alto de la República, hoy es el más bajo”"
Falso,"FALSOLa provincia sureña no es la que más redujo el indicador, y tampoco es la que tiene hoy los menores niveles."
Falso,Massa: “Bajamos un 80% el delito automotor en Tigre”
Falso,"EXAGERADOLos datos muestran que la baja fue entre 10 y 20 puntos menor a lo dicho por el precandidato presidencial del Frente Renovador. De todas maneras, Tigre fue el municipio de zona norte con la mayor reducción de estos robos."
Falso,"Cerruti: “Buenos Aires paga $280 mil por cuadra en recolección de residuos, el doble que la mayoría de las ciudades argentinas”"
Falso,"EXAGERADOLa legisladora incluyó en la cuenta el gasto en obras y un adelanto que el Gobierno le hizo a estas compañías. De todas maneras, el costo es alto comparado con otras ciudades."
Falso,CFK: “Los rendimientos de los plazos fijos y el Merval se ubicaron muy por encima del de la compra de dólares (inclusive el ilegal)”
Falso,"ENGAÑOSOLos datos de la Presidenta no toman en cuenta la devaluación de enero de 2014. Aunque la Bolsa sí creció por encima del precio de la divisa estadounidense, no es el caso de los plazos fijos."
Falso,Majdalani (PRO): “En la Secretaría de Inteligencia no todos los fondos son reservados”
Falso,"FALSOLos gastos de la SI son secretos en la práctica, porque no hay control externo y la Ley de Inteligencia sólo exige un acta de su titular justificando las erogaciones ante la Contaduría General. La información existente no presenta ningún detalle."
Falso,Marcelo Fuentes: “Las funciones de la Comisión están claras y su trabajo también”
Falso,"FALSOLa Ley de Inteligencia Nacional que creó la Bicameral no se cumple y existe un decreto que limita su control. Además, es muy poco lo que se sabe sobre su funcionamiento, aún sobre cuestiones no secretas."
Verdadero,Highton de Nolasco: “Hay más muertes por accidentes de tránsito que por otro tipo de inseguridad delictiva”
Verdadero,"VERDADEROEfectivamente, las víctimas fatales por hechos de tránsito superan a los homicidios producidos con intención. La situación no es exclusiva de la Argentina, sino que sucede en la mayoría de los países."
Falso,Tiempo Argentino: “Un informe privado refleja una baja del 90% en cortes de luz”
Falso,"ENGAÑOSOLos datos corresponden a una fuente oficial, a pesar de lo que indica el título, y son en comparación con el peor año en términos de consumo y cortes energéticos.ADEMÁS...> ¿Qué obras se hicieron desde el verano anterior?"
Falso,Aníbal Fernández: “Los datos personales se pueden hacer conocer (…) cuando medien razones fundadas de preocupación pública”
Falso,"FALSOLa ley 25.326 sólo permite que se den a conocer datos con orden judicial cuando haya cuestiones de seguridad pública, defensa nacional o salud pública, no de preocupación, como afirmó el Secretario general de la Presidencia."
Falso,Massa: “A un productor le sale más caro el flete de Salta a Rosario que de Rosario a Rotterdam”
Falso,"ENGAÑOSOLos costos que señaló el diputado nacional son correctos, aunque sucede porque el transporte marítimo es más barato que el terrestre en todo el mundo."
Falso,Scioli: “A partir de los 12.200 policías que están en la Costa los índices de inseguridad bajaron más del 80%”
Falso,INSOSTENIBLENo hay información oficial disponible que permita conocer si los delitos bajaron o no tras el inicio del Operativo Sol.
Falso,Urribarri: “Entre Ríos es la provincia que más creció en estos años”
Falso,"DISCUTIBLELa frase del Gobernador es verdadera sólo si se toman las provincias con datos comparables. Otros cálculos, en base al PBI 2004, muestran que Entre Ríos se ubica en el puesto número 11 entre las que más crecieron.ADEMÁS...>Poco acceso a los datos de PBG por provincia"
Falso,"Lombardi: “En la Argentina, 33% de la población se toma vacaciones, menos que en Uruguay, Francia o EE.UU.”"
Falso,Binner: “No podemos aceptar la pobreza (…) que acompaña al 40% de nuestros niños”
Falso,"DISCUTIBLELos datos utilizados por el precandidato presidencial socialista coinciden con algunos cálculos, pero por la falta de datos oficiales hay discrepancia sobre la cantidad de chicos en esa situación."
Falso,Capitanich: “Washington D.C. tiene más tasa de mortalidad infantil que la Argentina”
Falso,FALSOEl jefe de Gabinete y ex gobernador chaqueño lo dijo luego de la muerte de un niño qom por desnutrición en Chaco. Los datos oficiales de ambos gobiernos desmienten su afirmación.
Verdadero,"Clarín: “En Provincia, se perdieron 271.000 empleos en un año”"
Verdadero,"VERDADERO, PERO…Los datos muestran que hay menos ocupados que un año atrás, aunque la cifra es menor por un cambio de metodología que el INDEC no detalló."
Falso,"Abal Medina, sobre Menem: “Votó el 90% de las veces en contra nuestra y el 10% a favor”"
Falso,"DISCUTIBLELa presencia del ex Presidente en la última sesión del año fue vista como un “voto clave” para el kirchnerismo, pero el desempeño de Menem respecto del oficialismo depende de la interpretación del quórum y de las ausencias."
Falso,El FALSO de la gente
Falso,Cuál fue el favorito de los lectores.
Verdadero,CFK: “No hay ningún alumno ni docente que no cuente con una computadora de ‘Conectar Igualdad’”
Verdadero,VERDADERO Por primera vez desde que se lanzó el programa se completó la entrega de las netbooks a todo el universo contemplado. Hay controversia sobre el uso que se les da en las aulas.
Verdadero,Javkin: “La infraestructura de control [en los puertos de Rosario] es absolutamente deficiente”
Verdadero,VERDADEROLos informes de la Auditoría General de la Nación y de la Jefatura de Gabinete dan cuenta de lo que afirma el diputado nacional: los controles del Gobierno nacional en las terminales portuarias de la zona son defectuosos.
Verdadero,Partido Socialista: “[Las campañas fueron] iniciadas fuera del tiempo legal”
Verdadero,VERDADEROLos carteles con llamados explícitos al voto en las elecciones del próximo año están fuera de los plazos. 
Falso,La meta del fifty-fifty: según Scioli ya se alcanzó
Falso,"FALSOLa participación laboral en el PBI depende de qué fuente se utilice, pero en todos los casos el porcentaje se encuentra lejos del 50 por ciento. Sólo el INDEC llega a esa conclusión pero sus datos no son confiables."
Falso,"Infobae: “Pese a su credo estatista, el kirchnerismo invirtió la mitad que en los 90 en infraestructura”"
