clasificacion,,texto,
Falso,Macri está al borde ,"Macri está al borde de ir preso por un decreto de 2019, según el “New York Wines”",
Falso,Mayra Mendoza tiene ,Mayra Mendoza tiene un sueldo de casi $ 305 mil pero no se lo aumentó un 113%,
Falso,Es verdadero que la ,Es verdadero que la ANMAT prohibió la comercialización de una yerba mate,
Verdadero,Es una sátira la ima,Es una sátira la imagen donde el papa Francisco le toca la cola a Wanda Nara,
Falso,El hombre de la imag,"El hombre de la imagen es un “integrante del Herzbollah”, es Juan Pablo Sorín",
Falso,Es verdadero que la ,Es verdadero que la RAE confirmó que es correcto el uso del término “presidenta”,
Verdadero,Es verdadero que el ,Es verdadero que el Presidente pidió que se denuncie a comerciantes que no respetan el programa Precios Cuidados,
Falso,Es verdadero que Alb,Es verdadero que Alberto Fernández estuvo en la marcha por Nisman en 2015,
Falso,El abogado de la mam,El abogado de la mamá de Nisman dijo en TN: “Era corrupto pero buen tipo”,
Falso,Estela de Carlotto d,Estela de Carlotto dijo: “Si hay gente que no tiene vivienda es culpa de aquellos que tienen 2 o más propiedades”,
Falso,Es verdadero que Gal,Es verdadero que Galmarini anuló el contrato entre AySA y Boca Juniors,
Falso,Bullrich recibió el ,Bullrich recibió el premio Europol porque durante su gestión ningún cargamento de droga llegó a Europa desde la Argentina,
Falso,Este joven es asesor,Este joven es asesor de Ofelia Fernández,
Falso,Sabina Frederic dijo,"Sabina Frederic dijo: “Habría que analizar en qué situación desesperante, o qué problemas en su casa tenía el señor que cometió el error de fusilar al turista inglés”",
Falso,Una sobrina de Fabio,Una sobrina de Fabiola Yáñez fue designada presidente del Banco Provincia,
Falso,Kicillof autorizó an,Kicillof autorizó anteojos para todos los niños de 1 a 6 en la Provincia,
Falso,El Gobierno de Japón,El Gobierno de Japón decidió deshacerse de todos los hornos de microondas de ese país,
Falso,La ministra Sabina F,La ministra Sabina Frederic levantó todos los controles ruteros de la Gendarmería,
Falso,Hebe de Bonafini dij,Hebe de Bonafini dijo: “Hay que hacer boleta a Margarita Barrientos”,
Falso,Se descubrió el botí,Se descubrió el botín de los Kirchner en España,
Falso,Es verdadero que Sus,"Es verdadero que Susana Giménez dijo: “Hay que enseñarle a la gente del norte a plantar, a tener un gallinero”",
Falso,En la Argentina hay ,En la Argentina hay 700 mil legisladores que significan $84 mil millones mensuales,
Falso,Los hijos del intend,Los hijos del intendente de Malvinas Argentinas trabajan en el Conicet y cobran $360 mil,
Verdadero,Es verdadero que Vid,Es verdadero que Vidal eliminó la jubilación especial para ex gobernadores de la Provincia,
Falso,Hay que pincharle lo,Hay que pincharle los dedos a una persona que tiene un ACV,
Falso,Es de ahora esta tap,"Es de ahora esta tapa de la revista Noticias que afirma que Florencia Kirchner viajó hace poco a París, sino de 2013",
Falso,Se controlarán los c,Se controlarán los celulares y las redes sociales durante el G20,
Falso,La ANMAT prohibió la,La ANMAT prohibió la sidra de la marca Real,
Falso,En el río Pilcomayo ,En el río Pilcomayo hay círculos extraterrestres,
Falso,El Gobierno cambió l,El Gobierno cambió la normativa del Banco Central ahora para “disponer de dólares depositados por los ahorristas”,
Falso,Ginés González Garcí,Ginés González García estuvo involucrado en la causa de medicamentos falsos,
Falso,El Estado argentino ,El Estado argentino ofrece pagarle US$ 30 mil a Evo Morales por ser refugiado,
Falso,Sabina Frederic dijo,"Sabina Frederic dijo: “Habría que analizar en qué situación desesperante, o qué problemas en su casa tenía el señor que cometió el error de fusilar al turista inglés”",
Verdadero,El nivel de producci,El nivel de producción industrial del 2019 es equivalente al de 2006,
Falso,El Black Friday está,El Black Friday está relacionado con el comercio de esclavos,
Falso,Todos los productos ,Todos los productos Arcor tienen salmonella,
Falso,Funcionarios del gob,Funcionarios del gobierno interino de Bolivia asumieron realizando un saludo racista,
Falso,Hubo fraude electora,Hubo fraude electoral y que Macri ganó con el 55% de votos,
Falso,La CIDH publicó núme,"La CIDH publicó números propios sobre personas muertas, violadas, desaparecidas y torturadas en Chile",
Falso,Es verdadera la foto,Es verdadera la foto en la que Perón y Hitler están juntos,
Verdadero,Una desinformación q,"Una desinformación que vuelve: no, el Garrahan no le envió una carta a Tinelli por no haber realizado las obras prometidas en el hospital",
Falso,Patricia Bullrich fu,Patricia Bullrich fue premiada por Europol porque desde 2015 no llegó droga desde el país a Europa,
Falso,Una desinformación q,Una desinformación que vuelve: Winston Churchill no pidió que la Argentina no se convierta en potencia porque arrastraría “tras ella a toda América Latina”,
Falso,Magario dijo que ter,Magario dijo que terminará con el SAME en la Provincia porque es “un gasto innecesario”,
Falso,"Massa, sobre la gest","Massa, sobre la gestión de Macri: “[Tuvo] la inflación más alta de los últimos 25 años”",
Verdadero,Vuelve a circular la,Vuelve a circular la imagen falsa atribuida a Victoria Donda consumiendo cocaína,
Falso,"Fernández, sobre la ","Fernández, sobre la pobreza: “[Afecta] a uno de cada dos chicos menores de 14 años”",
Verdadero,La revolución de los,La revolución de los aviones ha generado que más de medio millón de personas viajaran por primera vez,
Verdadero,Una desinformación q,Una desinformación que vuelve: es falso que Kicillof cobraba un sobresueldo por estar en el directorio de YPF,
Falso,El Frente de Todos t,"El Frente de Todos tiene en su lista de candidatos a “La Cheta”, procesada como líder de una banda criminal",
Falso,El 2014 fue el año r,El 2014 fue el año récord de muertes por la policía,
Verdadero,La Argentina es un p,La Argentina es un país que consume el 70% de lo que produce,
Verdadero,Entre los años 2003 ,Entre los años 2003 y 2017 se perdieron 270 mil chicos de matrícula,
Falso,Se compraron 26 avio,Se compraron 26 aviones hidrantes durante el gobierno de Cristina Fernández de Kirchner,
Verdadero,"Macri, sobre el narc","Macri, sobre el narcotráfico: “[Logramos] récord en incautaciones”",
Falso,"Del Caño, sobre la g","Del Caño, sobre la gestión de Cambiemos: “Se fugaron casi un PBI”",
Falso,"Larreta, sobre el ga","Larreta, sobre el gasto en Educación y Salud: “Todos los años viene aumentando en términos reales”",
Falso,"El 41,5% de los chic","El 41,5% de los chicos de entre 5 y 17 años tienen obesidad",
Falso,Horacio Rodríguez La,"Horacio Rodríguez Larreta: “Desde que lanzamos el Plan Integral de Seguridad Pública, todos los delitos bajaron”",
Falso,"Macri, sobre la carn","Macri, sobre la carne vacuna: “En estos años logramos triplicar la exportación”",
Verdadero,Una desinformación q,Una desinformación que vuelve: es falso que el tren Belgrano Cargas descarriló debido a un sabotaje de los Moyano,
Falso,Patricia Bullrich di,Patricia Bullrich dijo: “Por fin la policía tiene derecho a matar”,
Falso,Esta foto con un car,Esta foto con un cartel de Madres de Plaza de Mayo en donde denuncian “9.000 desaparecidos” durante la dictadura es real,
Falso,Martiniano Molina ap,Martiniano Molina apoya a la fórmula Fernández-Fernández,
Falso,Marco Lavagna sobre ,Marco Lavagna sobre las jubilaciones: “[Hubo una] caída de 10% del haber mínimo en el promedio anual”,
Falso,La imagen de una muj,"La imagen de una mujer defecando en la vía pública no es de Barrios de Pie, sino de Venezuela y fue tomada durante una protesta",
Falso,Un ex combatiente de,Un ex combatiente de Malvinas ahora es un indigente que vive en Chaco,
Falso,Marcelo Tinelli no h,Marcelo Tinelli no hizo las obras prometidas en el Hospital Garrahan,
Falso,En Bolivia sellan pa,En Bolivia sellan pasaportes argentinos con esta leyenda: “Turista. Prohibido trabajar y estudiar”,
Falso,Una desinformación q,Una desinformación que vuelve: es falso que Grabois es hijo de una ex presidenta del PAMI acusada de corrupción,
Falso,Esta cita es del lib,Esta cita es del libro Sinceramente de Cristina Fernández de Kirchner,
Falso,Esta imagen muestra ,Esta imagen muestra cómo quedó Buenos Aires tras una protesta contra Macri,
Falso,Macri se ubica entre,"Macri se ubica entre los tres presidentes más corruptos del mundo, según Estados Unidos",
Falso,El video de Alberto ,El video de Alberto Fernández peleándose en un shopping fue filmado en España ni es actual,
Falso,En España se suicida,En España se suicidan dos mil hombres al año por falsas denuncias de sus ex mujeres,
Falso,En esta foto está Pa,En esta foto está Pablo Escobar con Néstor Kirchner y Cristina Fernández,
Falso,Estas fotos de una s,Estas fotos de una selva con lluvia son del Amazonas,
Falso,Es verdadero que Evo,Es verdadero que Evo Morales contrató un avión SuperTanker para combatir los incendios en Bolivia,
Falso,Un doctor de Oxford ,Un doctor de Oxford dijo que “Macri posee un trastorno mental muy grave”,
Falso,Mirtha Legrand compa,"Mirtha Legrand compartió una mesa junto a Videla, Agosti y Massera",
Falso,El atún desmenuzado ,El atún desmenuzado contiene cartón,
Verdadero,Es verdadera la tapa,Es verdadera la tapa del diario español ABC que tituló: “El giro de Argentina al kirchnerismo hunde su divisa”,
Falso,Sarlo dijo en Twitte,Sarlo dijo en Twitter que Macri es el “peor presidente de la Argentina moderna”,
Falso,Esta foto es del act,Esta foto es del acto de campaña de CFK en San Juan en julio pasado,
Falso,El Gobierno revisa 9,El Gobierno revisa 9 indemnizaciones otorgadas a víctimas del terrorismo de Estado y no todas,
Falso,Espert se sacó una f,Espert se sacó una foto con Máximo Kirchner,
Falso,"Ritondo, sobre homic","Ritondo, sobre homicidios: “Vienen bajando todos los años. El índice cada 100 mil habitantes es casi la mitad del que había en 2015”",
Falso,Alberto Fernández fu,Alberto Fernández fue diagnosticado con cáncer de pulmón,
Falso,La historia detrás d,La historia detrás de la foto del “abuelo” repartidor de PedidosYa,
Falso,Ignacio Montoya Carl,Ignacio Montoya Carlotto admitió que le pagaron por ser el nieto de Estela de Carlotto,
Falso,Esta imagen de Macri,Esta imagen de Macri junto al busto de Thatcher es verdadera,
Falso,En Dinamarca las per,En Dinamarca las personas que reciben ayuda social no pueden votar como afirma un posteo viral,
Falso,Es cierto que Bolson,"Es cierto que Bolsonaro fue declarado huésped de honor en Santa Fe, pero no fue el único",
Verdadero,Es verdadero que alg,"Es verdadero que algunas ambulancias del SAME no pasan por el viaducto de Roosevelt en Belgrano, pero hay vías alternativas próximas",
Falso,El Gobierno de la Ci,El Gobierno de la Ciudad multó a River por alojar a personas en situación de calle,
Falso,Grabois es hijo de u,Grabois es hijo de una ex funcionaria “que agarró el PAMI y lo destruyó”,
Falso,“Cacho” Castaña muri,“Cacho” Castaña murió,
Falso,Es Victoria Donda la,Es Victoria Donda la mujer que está consumiendo cocaína en una foto viral,
Falso,Hay una persona muer,Hay una persona muerta que votó en las últimas elecciones de Formosa,
Falso,La historia de Felic,"La historia de Felicitas García Olano, la voluntaria de Red Solidaria acusada de ser una infiltrada",
Falso,El texto leído por F,"El texto leído por Feinmann sobre CFK y el Tango 01 no fue escrito por la ex presidenta, como se dijo en redes",
Falso,Florencia Kirchner e,Florencia Kirchner es candidata,
Falso,Estas fotos son de l,Estas fotos son de la explosión en una planta en el polo petroquímico de Bahía Blanca,
Falso,Se instala en la Arg,Se instala en la Argentina el primer frigorífico sudamericano de perros,
Falso,Este tren que une Bu,Este tren que une Buenos Aires con Córdoba fue inaugurado antes de que asumiera Macri,
Falso,Ignacio Montoya dijo,Ignacio Montoya dijo que le pagaron por fingir ser el nieto de Estela de Carlotto,
Falso,Nancy Dupláa dijo “V,Nancy Dupláa dijo “Vidal es una cualquiera”,
Falso,Lali Espósito “despr,Lali Espósito “desprecio y ofendió” a las hijas de María Eugenia Vidal,
Falso,Florencia Peña dijo ,Florencia Peña dijo que se va del país si Macri gana las elecciones,
Falso,Es Felipe Solá el de,Es Felipe Solá el del audio que llama a sus compañeros a “no mostrar en campaña lo facho que son”,
Falso,Magario quiere hacer,Magario quiere hacer por Buenos Aires lo que hizo por La Matanza,qu
Falso,Macri dijo que “no e,Macri dijo que “no es tan necesario el feriado del día de la Bandera”,
Falso,Este video de la rep,"Este video de la represa de Yacyretá está vinculado al apagón en la Argentina, Uruguay y sur de Brasil, circula al menos desde 2017",
Falso,Estas camionetas cho,Estas camionetas chocaron en el Paseo del Bajo,
Falso,Son verdaderos los t,Son verdaderos los tuits de Massa sobre el triunfo de Manzur que circulan por redes,
Falso,"Sica, sobre el salar","Sica, sobre el salario: “No está perdiendo contra la inflación”",
Falso,El video viral no fu,El video viral no fue filmado ni en Salta ni en Santa Fe. Es California.,
Falso,Fernández-Fernández ,Fernández-Fernández en Merlo: es verdadero el posteo que da datos sociales negativos de ese partido,
Falso,En esta foto están N,"En esta foto están Néstor Kirchner, Cristina Fernández, Dilma Rousseff y Pablo Escobar",
Falso,La persona al lado d,La persona al lado de CFK es un venezolano detenido por romper la Plaza de los Congresos durante una manifestación,
Falso,CFK tiene una hija n,CFK tiene una hija no reconocida por tener síndrome de Down,
Falso,Es verdadero que Alb,Es verdadero que Alberto Fernández tiene $140 mil de multas impagas,
Verdadero,Cambiemos no cumplió,"Cambiemos no cumplió con la promesa de construir 3 mil jardines, pero inauguró más de 3",
Verdadero,"Durán Barba, sobre C","Durán Barba, sobre CFK: “Para ser candidata a presidenta está obligada a renunciar a la senaduría”",
Falso,Le van a pagar una o,Le van a pagar una operación a una niña ciega si su foto se comparte en redes sociales,
Falso,Es verdadero que gol,Es verdadero que golpearon a una señora de 83 años para robarle una garrafa,
Falso,El pollo congelado d,El pollo congelado del video viral que circula contiene tela,
Falso,Se inventó una vacun,Se inventó una vacuna contra la diabetes,
Falso,Macri es un “ingenie,Macri es un “ingeniero trucho” como dice un texto viral,
Falso,Stolbizer estuvo en ,Stolbizer estuvo en la presentación del libro de Cristina Fernández de Kirchner,
Falso,Es verdadero que den,Es verdadero que denunciaron a El Diario de Mariana ante la Defensoría del Público por difundir información contra las vacunas,
Falso,Decapitaron a la act,Decapitaron a la activista Samar Badawi,
Falso,En los próximos días,En los próximos días se votará una ley que sube la edad jubilatoria,
Falso,Murió Marco Antonio ,Murió Marco Antonio Solis,
Falso,La mujer de la foto ,La mujer de la foto consumiendo cocaína es Victoria Donda,
Falso,Burger King usa carn,Burger King usa carne de caballo en sus hamburguesas,
Falso,Es verdadero el vide,Es verdadero el video de los tanques militares que atropellan manifestantes en Venezuela,
Verdadero,Es verdadero que al ,Es verdadero que al menos 5 colectivos fueron prendidos fuego antes del paro general del 30 de abril,
Falso,El dueño de Amazon d,"El dueño de Amazon dijo que “el libro de Cristina será un best seller, como toda historia de gangsters”",
Falso,Los quesos “reelabor,Los quesos “reelaborados” son productos vencidos rehechos con leche nueva y que están prohibidos por ley,
Falso,El gobierno de Japón,El gobierno de Japón decidió deshacerse de todos los hornos de microondas en el país antes de fin de año porque producen cáncer,
Falso,Una enfermera interc,Una enfermera intercambió 5000 bebés durante 12 años “por diversión” en Zambia,
Falso,El Gobierno de San L,El Gobierno de San Luis construirá una réplica de la catedral de Notre Dame,
Falso,Existe una planta qu,Existe una planta que cura el cáncer,
Falso,El colectivo de Actr,El colectivo de Actrices Argentinas pidió que se diga “Ovarios de Pascua” en lugar de “Huevos de Pascua”,
Falso,Detuvieron a dos sos,Detuvieron a dos sospechosos por el incendio en Notre Dame,
Falso,El INADI quiere proh,El INADI quiere prohibir el juramento de la bandera,
Falso,Argentina es el terc,Argentina es el tercer productor mundial de litio,
Falso,El hombre de la foto,El hombre de la foto es un terrorista que causó el incendio de la catedral de Notre Dame,
Falso,Clarín publicó una n,"Clarín publicó una nota titulada: “Vivir en la calle, una tendencia que crece entre los porteños”",
Falso,La Real Academia Esp,La Real Academia Española avaló el uso del lenguaje inclusivo,
Falso,Cuba regala al mundo,Cuba regala al mundo la vacuna contra el cáncer,
Falso,El recibo de sueldo ,El recibo de sueldo de Máximo Kirchner por $550 mil es verdadero,
Falso,El rey de España dij,El rey de España dijo que “Latinoamérica debe pedir perdón por masacrar miles de conquistadores españoles inocentes”,
Falso,El atún desmenuzado ,El atún desmenuzado contiene lana,
Falso,La campaña de vacuna,La campaña de vacunación contra el sarampión y la parotiditis es de la Argentina,
Falso,Alemania autorizó la,Alemania autorizó la pena de muerte o la “cadena perpetua” para los políticos corruptos,
Falso,La ONU “decretó” que,La ONU “decretó” que todas las personas tengan que ponerse un microchip bajo la piel,
Falso,Se derrumbó una de l,Se derrumbó una de las escuelas construidas por Cambiemos,
Falso,La foto de las vías ,La foto de las vías mal construidas es de la obra del tren San Martín,
Falso,El Gobierno le vendi,El Gobierno le vendió 20 mil hectáreas del Parque Nacional Iguazú a los Estados Unidos,
Falso,El hijo de Carrió fu,El hijo de Carrió fue detenido en México con armas y un cargamento de drogas,
Falso,En la Argentina nace,En la Argentina nacen por año casi 110 mil bebés de chicas menores de 19 años,
Falso,La foto de una nena ,"La foto de una nena durmiendo en la calle no es de Buenos Aires, sino de la India",
Falso,En 2016 la mitad de ,En 2016 la mitad de chicos que terminaba el colegio no comprendía textos. Hoy ocho de cada diez alcanzaron un nivel superior en Lengua,
Falso,Un hombre murió quem,Un hombre murió quemado en Brasil después de interpretar al diablo,
Falso,La desinformación sa,"La desinformación saca de contexto un video de un siniestro ocurrido en febrero de 2018 en el estado de San Pablo, Brasil. Además, el supuesto fallecido dio entrevistas luego de que se difundiera este contenido.",
Falso,Es verdadero que la ,Es verdadero que la Corte Suprema dejó firme la prisión preventiva de Cristina Fernández de Kirchner,
Falso,El máximo tribunal d,"El máximo tribunal dio a conocer esto el 7 de marzo último, como señaló el diario La Nación. La causa sobre la cual se expresó la Corte la vincula a la firma del Memorándum de Entendimiento con Irán.",
Falso,Se filtró el primer ,Se filtró el primer spot de campaña de Cristina Fernández de Kirchner,
Verdadero,El vocero de la ex p,El vocero de la ex presidenta confirmó que no se trata de un spot oficial de campaña y que desconoce quién lo hizo. La desinformación también fue desmentida por el equipo de Comunicación de Unidad Ciudadana.,
Falso,Detuvieron al hijo d,Detuvieron al hijo del diputado entrerriano Ricardo Troncoso con 22 panes de marihuana en marzo de 2019,
Falso,"El hecho ocurrió, pe","El hecho ocurrió, pero no ahora sino en agosto de 2017, cuando se encontraron 20 panes de marihuana en un auto en el que viajaba Silvio Troncoso, hijo del actual diputado entrerriano por Cambiemos.",
Falso,La foto circula en r,"La foto circula en redes sociales desde el año último y en cuentas de la India, no de la Argentina como señala falsamente una publicación.",
Verdadero,"Macri, sobre las obr","Macri, sobre las obras públicas: “[Tienen] un costo promedio 40% más barato que en el 2015 y este ahorro nos permite hacer más obras”",
Falso,Mercedes Ninci feste,Mercedes Ninci festejó la muerte de Natacha Jaitt en redes sociales,
Falso,Los supuestos tuits ,Los supuestos tuits y posteos de Facebook son falsos: la periodista no tiene cuentas oficiales en ninguna de las redes sociales. Actualmente sólo tiene un usuario de Instagram.,
Falso,En la Argentina hay ,En la Argentina hay 700 mil legisladores,
Falso,A nivel nacional y p,"A nivel nacional y provincial la suma asciende a 1196. Si se contabilizarán también a los miembros de los Concejos Deliberantes como legisladores, tampoco se llega a ese número.",
Falso,El niño de la imagen,El niño de la imagen de Evita y Perón es Jorge Bergoglio,
Falso,"La imagen es de, por","La imagen es de, por lo menos, después de 1944 y para ese momento el Papa Francisco tenía al menos 10 años, es decir, que no puede ser el niño de la foto.",
Falso,Macri está imputado ,Macri está imputado por intentar privatizar dos centrales termoeléctricas por medio de un decreto,
Falso,Hasta el momento sól,"Hasta el momento sólo fue presentada una denuncia por legisladores del Frente Para la Victoria. Según confirmó a Chequeado el fiscal de la causa, no se emitió ninguna imputación por parte de la Justicia, contrariamente a lo que señala la desinformación.",
Falso,El presidente de Méx,El presidente de México sufrió un atentado,
Falso,No hubo ningún tipo ,"No hubo ningún tipo de comunicación oficial respecto de un ataque a Andrés Manuel López Obrador. Además, según la desinformación, esto lo habría dado a conocer Alejandro Solalinde, un cura mexicano defensor de los Derechos Humanos, a través de su cuenta de Twitter, pero él no publicó nada similar en sus redes.",
Falso,Usan sillas para int,Usan sillas para internar bebés en un hospital de Rosario por falta de camas,
Falso,La imagen que circul,"La imagen que circula está sacada de contexto; se trata de un hospital de Brasil. Además, la foto no es actual sino del año último.",
Falso,Macri dijo que “gobe,Macri dijo que “gobernar es como jugar al ajedrez pero sin los dados”,
Falso,El Presidente no dij,"El Presidente no dijo la frase en ninguno de los discursos que dio en su la gira por la India, como indican las publicaciones falsas. La frase circula desde hace 10 años, adjudicada a un jugador de fútbol alemán.",
Falso,Los datos públicos y,Los datos públicos y un relevamiento privado señalan que desde 1999 se inauguraron casi 40 establecimientos penitenciarios en la Provincia de Buenos Aires.,
Falso,La ONU determinó que,La ONU determinó que existen 112 géneros,
Falso,La lista a la que se,"La lista a la que se hace referencia fue publicada en un blog personal, y se la vincula sin evidencia a una persona que trabajó en Naciones Unidas hasta 2017. No es una lista del organismo.",
Falso,Roberto Lavagna cobr,Roberto Lavagna cobra una jubilación en dólares,
Verdadero,El exfuncionario no ,"El exfuncionario no percibe ningún tipo de jubilación o pensión por parte de ANSES, según le confirmaron a Chequeado desde el organismo. Además, no existe ningún tipo de beneficio social de ANSES se pague en dólares.",
Falso,Van a pagar la opera,Van a pagar la operación de una niña ciega si su foto se comparte en redes sociales,
Falso,La persona de la ima,"La persona de la imagen es una menor iraní, que no es ciega y cuyas imágenes se hicieron virales por la difusión de varios medios de comunicación, que la catalogaron como la niña “más linda del mundo”.",
Falso,El fundador de Netfl,El fundador de Netflix dijo que están haciendo una serie llamada “No vuelven más”,
Falso,La desinformación af,"La desinformación afirma que el fundador de Netflix habría dicho esto. Sin embargo, el texto proviene de una columna de humor político de Infobae. Chequeado ya desmintió casos similares en los quenotas del mismo autor fueron replicadas fuera de contexto.",
Falso,La ONU quiere implem,La ONU quiere implementar un chip biométrico en todas las personas del mundo en 2030,
Falso,El organismo interna,"El organismo internacional no propuso nada similar. La desinformación que circuló tergiversó uno de los objetivos definidos en 2015 en el plan Agenda 2030 sobre el Desarrollo Sostenible, que busca que para ese año todas las personas del mundo tengan un documento legal.",
Falso,Dejará de circular e,Dejará de circular el billete de $100 que tiene la cara de Julio Roca,
Falso,Desde el Banco Centr,"Desde el Banco Central confirmaron que todos los modelos que existen de esa suma seguirán en vigencia, incluido el del ex presidente. Según la desinformación fue Javier Britos, un supuesto gerente del Banco Nación, quien dio a conocer esto, pero el gerente General de ese organismo es Juan José Fragati y no hay declaraciones oficiales de él en este sentido.",
Falso,Pablo Echarri fue ap,Pablo Echarri fue apedreado y que lucha por su vida,
Falso,Un texto afirma que ,"Un texto afirma que el actor tuvo que ser hospitalizado luego de ser apedreado en la calle y que ahora lucha por su vida. Sin embargo, Echarri confirmó a Chequeado que se encuentra en perfecto estado de salud y que este hecho nunca existió.",
Falso,La central hidroeléc,La central hidroeléctrica Yacyretá tiene una grieta y que se está rompiendo,
Falso,La entidad binaciona,"La entidad binacional a cargo de la planta publicó un comunicado que desmiente la desinformación. Además, se trata de un rumor viejo que ya circuló en otras oportunidades y que también fue desmentido.",
Falso,Netflix emitirá la m,Netflix emitirá la miniserie “Codicia” producida por Jorge Lanata,
