clasificacion,texto
Falso,"Según datos históricos publicados por la serie Maddison, en 1900 la Argentina se ubicaba en el puesto 13 entre 45 países analizados, si se tiene en cuenta el PBI per cápita por la Paridad del Poder Adquisitivo, y no en el primero. En 2022, de acuerdo con datos del Banco Mundial (comparables con la serie Maddison), el país terminó en el puesto 66 sobre 184 naciones. Este dato tampoco coincide con el que dijo el candidato libertario."
Verdadero,"Javier Milei, en el debate por el balotaje 2023: “La cantidad de empleados en el sector privado está estancado desde 2011”"
Verdadero,"Si se miran los últimos 11 años y medio y se tiene en cuenta el crecimiento poblacional de esos años, se evidencia no sólo un estancamiento, sino también una caída en la generación de empleo registrado del sector privado."
Verdadero,"Sergio Massa, en el debate por el balotaje 2023: “El 90% de los chicos que van a la Universidad de José C. Paz o de Florencio Varela es primera generación de estudiantes universitarios”"
Verdadero,"En 2022 (último dato disponible), el 92% de los alumnos de la Universidad Nacional Arturo Jauretche era primera generación de estudiantes universitarios en referencia al padre y 86%, en referencia a la madre. En 2021 (último dato disponible), el 90% de los estudiantes de la Universidad Nacional de José C. Paz era la primera generación de estudiantes universitarios. Los datos coinciden con lo señalado por el candidato presidencial de Unión por la Patria."
Verdadero,"Javier Milei, en el debate por el balotaje 2023: “El 16% de los chicos termina el secundario en tiempo y forma”"
Verdadero,"De acuerdo con un informe del Observatorio Argentinos por la Educación, sólo 13 de cada 100 estudiantes completaron sus 12 años de estudios primarios y secundarios en tiempo y forma (sin abandonar ni repetir) y con conocimientos satisfactorios de Lengua y Matemática."
Falso,"Sergio Massa, en el debate por el balotaje 2023: “Bajé 80% el robo automotor (en Tigre)”"
Falso,"De acuerdo con los datos publicados por el Centro de Experimentación de Seguridad Vial (CESVI) Argentina, en la gestión de Massa en ese municipio el robo automotor descendió un 69,8%, 10 puntos menos al porcentaje que mencionó el candidato presidencial de Unión por la Patria."
Verdadero,"Sergio Massa, en el debate por el balotaje 2023: “La eliminación del Banco Central (que propone Milei) la tiene Micronesia”"
Verdadero,"Existen 10 países en el mundo que no tienen un banco central. En la mayoría son casos de territorios pequeños e islas con baja población. Micronesia, nombrado por el candidato presidencial por Unión por la Patria, está dentro de esa lista."
Verdadero,"Javier Milei, en el debate por el balotaje 2023: “La Argentina, en los últimos 123 años, tuvo 113 de déficit fiscal”"
Verdadero,"El país registró déficit fiscal financiero (es decir, la diferencia entre los gastos corrientes de un Estado y su recaudación de impuestos, incluyendo el pago de intereses de la deuda) en 113 años de los últimos 123, como dijo en el debate de cara al balotaje 2023 el candidato presidencial de La Libertad Avanza."
Falso,"Javier Milei, sobre el Banco Central: “Desde que lo nacionalizamos en 1946, nuestra inflación fue del 250%”"
Falso,"El período considerado por el candidato presidencial abarca más de 4 décadas en las que la situación inflacionaria fue muy variada (incluso, en cierto período fue un fenómeno global y no solo argentino). Además, especialistas indicaron que no se puede deducir que haya una relación causal entre la existencia del Banco Central y la inflación, dado que se trata de un fenómeno complejo que involucra a muchas variables de la economía."
Falso,"Es falso que en 2015 Victoria Villarruel tuiteó: “Lo lamento por los diabéticos, pero con mi plata no”"
Falso,"No hay registros de que Villarruel haya publicado ese contenido en Twitter (hoy X). Además, en 2015, se podían escribir mensajes de hasta 140 caracteres, mientras que el supuesto tuit viral tiene 223. Villarruel desmintió en sus redes sociales la desinformación y, en el debate de vicepresidentes del 8 de noviembre, dijo: “No vamos a quitar el subsidio a los medicamentos, no vamos a cerrar hospitales ni quitar pensiones por discapacidad”."
Falso,El polvo blanco que cubre a Sergio Massa en esta fotografía viral no es cocaína; es harina
Falso,"En la foto original, tomada en La Rioja en 2015, el sorbete está sobre su boca. Y el candidato no está cubierto de cocaína sino de harina; un producto que se acostumbra arrojar en el Festival Chayero Sanagasteño de esa provincia. "
Falso,"No, Sergio Massa no toma cocaína en este video: la grabación está manipulada"
Falso,"Se viralizó un video en redes sociales en el que se ve, supuestamente, al candidato presidencial Sergio Massa consumiendo lo que parece cocaína. Sin embargo, el video desinformativo se basa en otro que circula desde, al menos, 2016, que fue manipulado para reemplazar al hombre original con la imagen y la voz de Massa. No es la primera vez que circula desinformación que relaciona al candidato de Unión por la Patria con el consumo de drogas."
Falso,Es falsa la supuesta placa de Infobae con un textual de Juan Grabois sobre la inseguridad y Javier Milei
Falso,"Circula en redes sociales una placa que imita la estética de Infobae con un supuesto textual sobre Javier Milei del dirigente social y ex precandidato a presidente por Unión por la Patria, Juan Grabois. Pero es falsa. La frase no fue publicada por ese medio y no hay registros de que haya sido pronunciada por el dirigente. Desde su equipo de prensa aseguraron que nunca la dijo."
Falso,Es falso que Sergio Massa anunció la eliminación de los planes sociales
Falso,"El Gobierno nacional publicó recientemente el Decreto N° 565/2023, que transfiere el programa “Potenciar Trabajo” del Ministerio de Desarrollo Social al Ministerio de Trabajo de la Nación. Esto no implica la eliminación de este programa ni de los planes sociales, sino un cambio de área. La medida no incluye ningún otro plan social."
Falso,Es falso que Sergio Massa haya provocado un corte en la cabeza de un camarógrafo tras la entrevista en LN+
Falso,"Usuarios comparten en redes sociales la imagen de un corte en una cabeza y aseguran que, en un arranque de ira, Sergio Massa habría lanzado un vaso de vidrio a un camarógrafo luego de la entrevista del 5 de noviembre en LN +. Pero la foto del corte circula en internet desde, al menos, 2020, asociada a una agresión policial en Santiago del Estero. Desde La Nación confirmaron a Reverso que el hecho nunca ocurrió."
Falso,"No, Lionel Messi no apoyó públicamente a Sergio Massa, como afirman estas placas falsas"
Falso,"No hay registros de que el jugador haya hecho tales declaraciones de manera pública, tras los resultados de las elecciones generales del 22 de octubre. Marcelo Méndez, director de Comunicación de Messi, aseguró a Reverso que “Leo no dijo ninguna frase sobre las elecciones ni sobre los candidatos”. Además desde  TyC Sports aseguraron que las placas son falsas y no fueron publicadas en las  redes sociales del canal."
Falso,"No, La Nación no publicó una placa en la que Sergio Massa propone un bono para el colectivo LGBT"
Falso,"Circula una supuesta placa del diario La Nación con una frase adjudicada al candidato de Unión por la Patria, Sergio Massa, sobre una propuesta de un bono mensual de 350 mil pesos para el colectivo LGBT. Pero o hay registros de la frase ni de la pieza, que muestra inconsistencias con el diseño que suele utilizar el diario en sus redes."
Falso,"No, este video filmado en Rosario no muestra una marcha “contra el fraude electoral” sino los festejos del Mundial 2022"
Falso,"El video corresponde a los festejos que se llevaron a cabo el 18 de diciembre de 2022, luego de que la Selección Argentina saliera campeona del Mundial en Qatar. En Rosario sí hubo una manifestación el domingo último pero, a diferencia de lo que señalan los posteos virales, no fue “multitudinaria”."
Falso,"No, la imagen de un playero de YPF cargando nafta en una Shell no es actual"
Falso,"Circula en redes la foto de un empleado de YPF cargando nafta en una estación de servicio de Shell, con el texto: “El empleado de la estatal YPF cargando nafta en la privada Shell. Toda una postal de lo que es la gestión estatal de Massa y ‘La Campora’ y lo que es la gestión privada”. Pero la imagen no es actual, sino que circula desde 2018."
Falso,El noticiero sudafricano que se refiere a la Argentina como “el país que no queremos ser” es falso
Falso,"El noticiero fue fabricado en base a una plantilla de videos a disposición para su compra en varios sitios web, y cuyo contenido audiovisual y escrito puede ser editado por los usuarios. "
Falso,"No, la madre de Lucio Dupuy no subió un video desde la cárcel en apoyo a Sergio Massa; la grabación original es de 2021, previo a su condena, y no tiene referencias políticas"
Falso,"Miles de usuarios comparten en redes sociales un video que Magdalena Espósito Valenti, asesina convicta de su hijo Lucio Dupuy, habría grabado desde la cárcel llamando a votar por el candidato de Unión por la Patria, Sergio Massa. Pero esto es falso."
Falso,Es falsa esta supuesta noticia de un portal de China que anuncia la venta de Vaca Muerta a ese país
Falso,"Usuarios en redes comparten la captura de una supuesta noticia de China que anunciaría la venta de Vaca Muerta a ese país, pero es falso. La traducción del artículo evidencia que no se trata de una noticia relacionada ni con Vaca Muerta ni con la Argentina. La foto utilizada para ilustrar la presunta primicia no es actual, sino que es de 2022."
Falso,Sergio Massa: “Estamos en el récord histórico de producción de petróleo”
Falso,"De acuerdo con los datos oficiales, el mayor nivel de producción de petróleo ocurrió en  1998, cuando se produjeron casi 847 mil barriles diarios. En lo que va de 2023, en promedio, se produjeron 624 mil barriles diarios."
Falso,"No, este video de una agresión a Sergio Massa no fue grabado durante la campaña electoral de 2023"
Falso,"Más de 10.000 usuarios comparten en redes sociales un video que supuestamente muestra al candidato de Unión por la Patria, Sergio Massa, siendo atacado por un grupo de personas mientras ingresa a la Casa Rosada previo al balotaje del 19 de noviembre. Pero esto es falso: las imágenes fueron grabadas el 3 de agosto de 2022, antes de que Massa jurara como ministro de Economía."
Falso,Es falso que Myriam Bregman “bancó a Milei y defendió a Villarruel” en una entrevista
Falso,"Circula en redes sociales el recorte de una entrevista a la entonces candidata a presidente por el Frente de Izquierda y de los Trabajadores (FIT), y el posteo señala que Bregman “bancó a Milei y defendió a Villarruel”. Sin embargo, esto es falso. A diferencia de lo que señala la publicación viral, Bregman no defendió ni a Milei ni a Villarruel en la entrevista, sino que respondió a un comentario específico del entrevistador. Además, durante varios momentos de la entrevista, criticó a los candidatos de La Libertad Avanza."
Falso,"No, esta imagen de una protesta frente a la Casa Rosada no es actual; fue tomada en 2021"
Falso,"La imagen ha sido sacada de contexto. Si bien el 29 de octubre militantes de La Libertad Avanza protestaron debido a un supuesto fraude electoral en las inmediaciones de Plaza de Mayo, la imagen viral fue tomada en febrero de 2021, un año antes de que Massa asumiera como ministro de Economía. La instantánea corresponde a la marcha del 27F, impulsada por militantes de Juntos por el Cambio."
Falso,"La esposa de Gerardo Morales, Tulia Snopek, no forma parte del directorio de YPF en 2023"
Falso,"Usuarios aseguran en redes sociales que María Eugenia Tulia Snopek, esposa del gobernador de Jujuy y presidente de la Unión Cívica Radical, Gerardo Morales, es directora de YPF. Sin embargo, Snopek fue directora suplente de YPF entre abril y diciembre de 2021. Su nombramiento y su renuncia constan en documentos oficiales y la funcionaria no figura en el directorio actual de la compañía."
Falso,"No, este texto viral no es un editorial del Washington Post sobre la Argentina"
Falso,El Washington Post no publicó ningún editorial que diga eso ni en español ni en inglés y el texto coincide con uno escrito por un periodista argentino en un medio llamado The Post en 2019. El falso editorial se comparte periódicamente en redes y medios locales de manera errónea desde 2019. Incluso circuló con el nombre del país cambiado por Chile.
Falso,"No, Lionel Messi no dijo: “No votaría a los personajes que venimos viendo desde siempre”"
Falso,"La frase se viralizó a través de una supuesta placa de Infobae, pero ese medio no publicó ningún artículo con esas declaraciones ni tampoco aparece la imagen en sus redes sociales. Además, no existe ningún registro de que el futbolista argentino haya hecho esta afirmación y el director de Comunicación del futbolista, Marcelo Méndez, lo desmintió."
Falso,"No, esta frase no corresponde a “La Divina Comedia” de Dante Alighieri, como afirmó Alberto Benegas Lynch"
Falso,La cita “Los lugares más calientes del infierno están reservados para aquellos que en tiempos de crisis moral se mantienen neutrales” no figura en esa obra del escritor italiano.
Falso,Es falso que la plataforma electoral de Unión por la Patria propone “reducir el consumo de carne y fomentar el consumo de insectos”
Falso,"Circula en redes sociales una presunta captura de la plataforma oficialista, en la que se indica que la coalición liderada por el candidato presidencial Sergio Massa propone reducir el consumo de carne y fomentar el consumo de insectos, entre otras medidas.
Sin embargo, estas propuestas no figuran en la plataforma nacional de Unión por la Patria ni en ninguna de las 24 plataformas de esta coalición en cada distrito del país."
Falso,"Es falso que Clarín publicó una noticia sobre una supuesta promesa de Javier Milei de cerrar el Registro Automotor, y esa propuesta no figura en su plataforma electoral"
Falso,"Desde el diario indicaron a Reverso que no publicaron esa noticia. Además, a diferencia de lo que señalan los posteos virales, esta iniciativa no aparece en la plataforma electoral de la Libertad Avanza. "
Falso,"No, Ricardo Darín no amenazó a un joven con un mensaje escrito el día de las elecciones generales de 2023"
Falso,"Se trata de un relato humorístico vinculado a un supuesto encuentro de un usuario de X con el actor en las elecciones primarias. El tuit viral aseguraba que el actor le había dejado un papel con sus iniciales el día de las elecciones generales de 22 de octubre con un mensaje que decía: “Se viene el estallido, pendejo”. Ni ese encuentro ni ese mensaje existieron."
Falso,Cómo darte cuenta si una frase plasmada en una placa que imita el estilo de un medio de comunicación en redes sociales es falsa
Falso,"En redes sociales circulan placas con logos de medios de comunicación que contienen presuntas frases que involucran a políticos, artistas, deportistas y demás personalidades. Es una práctica habitual para generar y difundir desinformaciones, ya que requiere mínimos esfuerzos de edición y suele viralizarse rápido. Consejos para no caer en contenidos falsos."
Falso,"No, este video no muestra mosquitos con un número de serie: se trata de un pulgón con manchas negras"
Falso,"Circula un video en Instagram y Tik Tok donde se ve un insecto que al correrle el ala parece tener un número 36 o 38. En la descripción indican que se trataría de un número de serie. Esto es falso. El insecto es un pulgón, cuyo nombre científico es Euceraphis punctipennis y lo que parece un número son manchas negras características de esta especie, según expertos internacionales y guías de insectos. "
Falso,"No, Clarín no publicó una noticia con supuestas medidas económicas de Sergio Massa, y el Gobierno desmintió que estén bajo análisis"
Falso,"Desde el diario indicaron que no publicaron esa noticia, mientras que desde el Banco Central y el Ministerio de Economía de la Nación desmintieron que se encuentren analizando las medidas señaladas en los posteos. Tributaristas consultados aseguran que las supuestas medidas no podrían ser tomadas por el Gobierno nacional. "
Falso,"No, Lionel Messi no publicó en sus redes sociales una imagen de un león en apoyo a Javier Milei"
Falso,"Circula una supuesta historia de la cuenta oficial de Instagram del jugador publicada el día de las elecciones presidenciales. Sin embargo, esto es falso. La publicación fue desmentida a Chequeado por el director de Comunicación de Messi y, además, ningún medio de comunicación se hizo eco del posteo desinformante."
Falso,"No, Pablo Echarri no dijo: “Por cómo se viene la mano los argentinos vamos a terminar lavando copas en Europa”"
Falso,"En redes sociales circula una supuesta placa del diario Clarín con una presunta frase de Pablo Echarri sobre “el futuro de los argentinos”. Sin embargo, es falsa. No hay registros de los supuestos dichos del actor en Google ni en sus redes sociales o las de Clarín. Tanto Echarri como Clarín lo desmintieron."
Falso,Son falsos los resultados de boca de urna que se difundieron en redes sociales atribuidos a 3 consultoras
Falso,"Las 3 consultoras que son mencionadas en los mensajes aseguraron que no realizaron encuestas de boca de urna, por lo que desconocieron haber informado los resultados referidos."
Falso,No son oficiales los resultados de mesas en el exterior publicados por usuarios antes del cierre de los comicios en la Argentina
Falso,"Si bien la jornada electoral en Nueva Zelanda, Australia y Malasia culminó horas antes del cierre de los comicios en la Argentina, la Dirección Nacional Electoral confirmó a Reverso que los resultados oficiales de las elecciones generales no se darían a conocer antes de las 22:00, hora local."
Falso,Son falsas las placas con supuestos dichos de Fito Páez y el cantante de La Beriso sobre los candidatos presidenciales
Falso,"Circula una supuesta placa de Infobae con una frase atribuida a Rolo Sartorio, cantante de La Beriso, que dice: “Si no ganan Milei o Bullrich dejamos la música para siempre”. Pero es falso: no hay registro de los dichos ni de la placa y además la banda lo desmintió en sus redes sociales. También se viralizó una supuesta placa de Clarín con una frase atribuida al músico Fito Páez, que dice: “Si no es con un gobierno peronista, no tengo nada que hacer en este país”."
Falso,"No, este león gigante no es un regalo para Javier Milei: fue tallado en China entre 2012 y 2015"
Falso,"El video de un gran león tallado en madera circula en redes sociales con la afirmación de que fue creado por un carpintero salteño y enviado al candidato de La Libertad Avanza, Javier Milei, antes de las elecciones generales. Pero esto es falso. La figura fue creada en China entre 2012 y 2015 por un grupo de 20 escultores."
Verdadero,"Es verdadero que se realizó una campaña sobre el costo del boleto de tren a favor de Massa, pero este tipo de actividades están prohibidas por ley"
Verdadero,"La campaña fue llevada a cabo por un grupo de gremios del sector ferroviario, según confirmaron a Reverso voceros de los sindicatos y del Gobierno nacional. Especialistas indicaron que esta actividad está prohibida por la ley de financiamiento partidario, que impide que los sindicatos realicen aportes para financiar la campaña electoral. "
Falso,Proyecto Blue Beam: de qué trata esta teoría conspirativa para establecer un “Nuevo Orden Mundial”
Falso,"Esta teoría conspirativa está relacionada con otra teoría conspirativa, la del “Nuevo Orden Mundial”, que alega que existe una élite secreta y muy poderosa que busca reemplazar los actuales Estados-Nación por un gobierno autoritario global."
Falso,"No, esta imagen no corresponde a egipcios cruzando la frontera hacia Palestina para proveer suministros"
Falso,"La foto es una captura de un video que circula, por lo menos, desde un mes antes del ataque a Israel por parte del grupo terrotista Hamas. En el sitio de noticias Kurdistán 24, de donde se tomó la imagen, no hay vínculo alguno con la noticia del conflicto bélico entre Hamas e Israel."
Falso,"El video de Cristina Fernández de Kirchner en el que llama a votar por Unión Ciudadana es de 2017, no de 2023"
Falso,"Un video en el que la vicepresidenta Cristina Fernández de Kirchner llama a votar por la coalición Unión Ciudadana circula como si hubiese sido grabado previo a las elecciones generales del 22 de octubre. Pero es falso. La grabación original fue difundida dos días antes de las elecciones primarias legislativas de agosto de 2017, en las que Fernández de Kirchner formaba parte de la oposición. "
Falso,"No, Horacio Rodríguez Larreta no saludó con la V peronista en el acto de cierre de campaña de Patricia Bullrich"
Falso,"Usuarios comparten en redes sociales una imagen tomada durante el cierre de campaña de Patricia Bullrich en la que Larreta parece hacer la “V” peronista. Pero es falso. En la transmisión televisiva se comprueba que el gesto del funcionario denotaba el número 2. 
 "
Falso,"No, Joan Manuel Serrat no escribió esta carta a los palestinos de Gaza"
Falso,"El texto circula como actual y adjudicado al cantante catalán a partir del ataque de Hamas a Israel y la respuesta de Israel, pero es falso. La carta circula, por lo menos, desde 2009 y el propio Serrat comunicó a la agencia de noticias EFE que esa carta no fue escrita por él."
Falso,Es falsa la foto que muestra a Sergio Massa reunido con Carlos Melconian; en la original aparece el gobernador Axel Kicillof
Falso,"Circula en redes una foto que supuestamente muestra al candidato de Unión por la Patria, Sergio Massa, y a su esposa, Malena Galmarini, reunidos con Carlos Melconian, potencial ministro de Economía de la candidata de Juntos por el Cambio, Patricia Bullrich. Sin embargo, se trata de un montaje hecho sobre una fotografía de Massa y Galmarini junto al gobernador de la Provincia de Buenos Aires, Axel Kicillof."
Falso,"El cartel de Unión por la Patria en guaraní no dice “apestoso”, es una mala traducción"
Falso,"En redes sociales circula un video en el que una chica, supuestamente, corrige un cartel de la coalición oficialista Unión por la Patria en guaraní. Sin embargo, la traducción que hace está equivocada y no dice “apestoso”. La propaganda que dice “Evota ne mba’apoharehe. Evota nde rógare” significa en realidad “Votá por tu trabajo. Votá por tu casa”, y no “Votá apestoso por tu trabajo”."
Falso,"No, este video en el que Hamas agradece a Irán por las “armas, dinero y otros equipos” no es actual, sino de 2014"
Falso,"Circula un video que señala que el portavoz de las Brigadas Izzeddin Al-Qassam -el brazo armado de Hamas-, Abu Ubaida, habría dicho recientemente: “Agradecemos a la República Islámica de Irán que nos proporcionó armas, dinero y otros equipos”. Sin embargo, se trata de una desinformación: el video no es actual sino que es de 2014 cuando el grupo Hamas celebró su 27º aniversario."
Verdadero,Son verdaderas estas imágenes donde Hamas secuestra a una mujer con sus hijos
Verdadero,"Según distintos medios de comunicación, la escena fue registrada en la Franja de Gaza y el video fue captado por el periodista de Gaza Muthana al-Najar. Los registros periodísticos indican que la mujer es Shiri Silberman-Bibas, secuestrada junto a sus hijos de 9 meses y 3 años."
Falso,Es falso que estos son paracaidistas israelíes sobre Gaza; es el ejército estadounidense en Carolina del Norte
Falso,"Las imágenes son de 2016, y en ellas aparecen paracaidistas del ejército estadounidense en Carolina del Norte. El contenido fue publicado el 28 de mayo de 2016 en el canal de YouTube Air Source Military, que cubre eventos y misiones de las fuerzas armadas de los Estados Unidos."
Falso,"No, este video de una marcha a favor de Palestina en Chicago no es de octubre de 2023, sino de mayo de 2021"
Falso,Las imágenes fueron grabadas en mayo de 2021 durante un enfrentamiento en la franja de Gaza entre el Ejército Israelí y la organización terrorista Hamas.
Falso,"No, este video de una torre destruida por un misil en Gaza no es actual, sino de 2021"
Falso,"Aunque el video es real, las imágenes no son actuales. Se trata de un ataque del ejército israelí contra la torre Al-Shorouk en Gaza, destruida en 2021."
Falso,"Es falso que Israel bombardeó la iglesia ortodoxa de San Porfirio, en Gaza"
Falso,"Varios posteos virales aseguran que Israel habría bombardeado la iglesia ortodoxa de San Porfirio, en Gaza, pero esto es falso, al 11 de octubre. El 9 de octubre último, la propia institución aseguró en su cuenta oficial de Facebook que la iglesia “está intacta”."
Verdadero,"Javier Milei, en el segundo debate presidencial 2023: “Hoy el empleo informal es más importante que el formal”"
Verdadero,"Según los datos oficiales, a fines de 2022 la cantidad de personas que tenía un empleo informal era superior al número de trabajadores registrados. La tendencia desde 2016 muestra un aumento del trabajo informal y un descenso del trabajo registrado."
Falso,Qué desinformaciones circulan sobre el ataque de Hamas y la respuesta de Israel
