clasificacion,texto
Verdadero,"En 2022 (último dato disponible), el 92% de los alumnos de la Universidad Nacional Arturo Jauretche era primera generación de estudiantes universitarios en referencia al padre y 86%, en referencia a la madre. En 2021 (último dato disponible), el 90% de los estudiantes de la Universidad Nacional de José C. Paz era la primera generación de estudiantes universitarios."
Verdadero,"Javier Milei, en el debate por el balotaje 2023: “El 16% de los chicos termina el secundario en tiempo y forma”"
Verdadero,"De acuerdo con un informe del Observatorio Argentinos por la Educación, sólo 13 de cada 100 estudiantes completaron sus 12 años de estudios primarios y secundarios en tiempo y forma (sin abandonar ni repetir) y con conocimientos satisfactorios de Lengua y Matemática."
Falso,"Sergio Massa, en el debate por el balotaje 2023: “Bajé 80% el robo automotor (en Tigre)”"
Verdadero,"De acuerdo con los datos publicados por el Centro de Experimentación de Seguridad Vial (CESVI) Argentina, en la gestión de Massa en ese municipio el robo automotor descendió un 69,8%, 10 puntos menos al porcentaje que mencionó el candidato presidencial de Unión por la Patria."
Verdadero,"Sergio Massa, en el debate por el balotaje 2023: “La eliminación del Banco Central (que propone Milei) la tiene Micronesia”"
Verdadero,"Existen 10 países en el mundo que no tienen un banco central. En la mayoría son casos de territorios pequeños e islas con baja población. Micronesia, nombrado por el candidato presidencial por Unión por la Patria, está dentro de esa lista."
Verdadero,"Javier Milei, en el debate por el balotaje 2023: “La Argentina, en los últimos 123 años, tuvo 113 de déficit fiscal”"
Verdadero,"El país registró déficit fiscal financiero (es decir, la diferencia entre los gastos corrientes de un Estado y su recaudación de impuestos, incluyendo el pago de intereses de la deuda) en 113 años de los últimos 123, como dijo en el debate de cara al balotaje 2023 el candidato presidencial de La Libertad Avanza."
Falso,"Javier Milei, sobre el Banco Central: “Desde que lo nacionalizamos en 1946, nuestra inflación fue del 250%”"
Falso,"En 2015 Victoria Villarruel tuiteó: “Lo lamento por los diabéticos, pero con mi plata no”"
Verdadero,"Villarruel desmintió en sus redes sociales la desinformación y, en el debate de vicepresidentes del 8 de noviembre, dijo: “No vamos a quitar el subsidio a los medicamentos, no vamos a cerrar hospitales ni quitar pensiones por discapacidad”."
Falso,El polvo blanco que cubre a Sergio Massa en esta fotografía viral es cocaína
Verdadero,"En la foto original, tomada en La Rioja en 2015, el sorbete está sobre su boca. Y el candidato no está cubierto de cocaína sino de harina; un producto que se acostumbra arrojar en el Festival Chayero Sanagasteño de esa provincia. "
Falso,Sergio Massa toma cocaína en este video
Verdadero,"Se viralizó un video en redes sociales en el que se ve, supuestamente, al candidato presidencial Sergio Massa consumiendo lo que parece cocaína. Sin embargo, el video desinformativo se basa en otro que circula desde, al menos, 2016, que fue manipulado para reemplazar al hombre original con la imagen y la voz de Massa. No es la primera vez que circula desinformación que relaciona al candidato de Unión por la Patria con el consumo de drogas."
Falso,Sergio Massa anunció la eliminación de los planes sociales
Verdadero,"El Gobierno nacional publicó recientemente el Decreto N° 565/2023, que transfiere el programa “Potenciar Trabajo” del Ministerio de Desarrollo Social al Ministerio de Trabajo de la Nación. Esto no implica la eliminación de este programa ni de los planes sociales, sino un cambio de área. La medida no incluye ningún otro plan social."
Falso,Sergio Massa provocó un corte en la cabeza de un camarógrafo tras la entrevista en LN+
Falso,"Usuarios comparten en redes sociales la imagen de un corte en una cabeza y aseguran que, en un arranque de ira, Sergio Massa habría lanzado un vaso de vidrio a un camarógrafo luego de la entrevista del 5 de noviembre en LN +."
Falso,Lionel Messi apoyó públicamente a Sergio Massa
Falso,"Hay registros de que el jugador haya hecho tales declaraciones de manera pública, tras los resultados de las elecciones generales del 22 de octubre. Marcelo Méndez, director de Comunicación de Messi, aseguró a Reverso que “Leo apoyó a Sergio Massa”."
Falso,Sergio Massa propone un bono para el colectivo LGBT
Falso,"Circula una placa del diario La Nación con una frase adjudicada al candidato de Unión por la Patria, Sergio Massa, sobre una propuesta de un bono mensual de 350 mil pesos para el colectivo LGBT. "
Falso,Este video filmado en Rosario muestra una marcha “contra el fraude electoral”
Falso,"El video corresponde a los festejos que se llevaron a cabo el 18 de diciembre de 2022, luego de que la Selección Argentina saliera campeona del Mundial en Qatar. En Rosario sí hubo una manifestación el domingo último pero, a diferencia de lo que señalan los posteos virales, no fue “multitudinaria”."
Falso,"No, la imagen de un playero de YPF cargando nafta en una Shell no es actual"
Falso,Un noticiero sudafricano se refiere a la Argentina como “el país que no queremos ser”
Verdadero,"Es falso que un noticiero sudafricano se haya referido a la Argentina como “el país que no queremos ser”. El noticiero fue fabricado en base a una plantilla de videos a disposición para su compra en varios sitios web, y cuyo contenido audiovisual y escrito puede ser editado por los usuarios. "
Falso,La madre de Lucio Dupuy subió un video desde la cárcel en apoyo a Sergio Massa.
Falso,"Miles de usuarios comparten en redes sociales un video que Magdalena Espósito Valenti, asesina convicta de su hijo Lucio Dupuy, habría grabado desde la cárcel llamando a votar por el candidato de Unión por la Patria, Sergio Massa. "
Falso,Un portal de China anuncia la venta de Vaca Muerta a ese país
Falso,Usuarios en redes comparten la captura de una noticia de China que anunciaría la venta de Vaca Muerta a ese país.
Falso,Sergio Massa: “Estamos en el récord histórico de producción de petróleo”
Verdadero,"De acuerdo con los datos oficiales, el mayor nivel de producción de petróleo ocurrió en  1998, cuando se produjeron casi 847 mil barriles diarios. En lo que va de 2023, en promedio, se produjeron 624 mil barriles diarios."
Falso,Sergio Massa fue agredido durante la campaña electoral de 2023
Falso,"Un video muestra al candidato de Unión por la Patria, Sergio Massa, siendo atacado por un grupo de personas mientras ingresa a la Casa Rosada previo al balotaje del 19 de noviembre. "
Falso,Myriam Bregman “bancó a Milei y defendió a Villarruel” en una entrevista
Falso,"La candidata a presidente por el Frente de Izquierda y de los Trabajadores (FIT), bancó a Milei y defendió a Villarruel”."
Falso,"La esposa de Gerardo Morales, Tulia Snopek, forma parte del directorio de YPF en 2023"
Falso,"María Eugenia Tulia Snopek, esposa del gobernador de Jujuy y presidente de la Unión Cívica Radical, Gerardo Morales, es directora de YPF. Su nombramiento y su renuncia constan en documentos oficiales y la funcionaria figura en el directorio actual de la compañía."
Falso,Lionel Messi dijo: “No votaría a los personajes que venimos viendo desde siempre”
Falso,Lionel Messi dijo: “No votaría a los personajes que venimos viendo desde siempre”. La frase se viralizó a través de una placa de Infobae.
Falso,"La cita “Los lugares más calientes del infierno están reservados para aquellos que en tiempos de crisis moral se mantienen neutrales” corresponde a “La Divina Comedia” de Dante Alighieri, como afirmó Alberto Benegas Lynch"
Falso,La plataforma electoral de Unión por la Patria propone “reducir el consumo de carne y fomentar el consumo de insectos”
Falso,"La plataforma oficialista, en la que se indica que la coalición liderada por el candidato presidencial Sergio Massa propone reducir el consumo de carne y fomentar el consumo de insectos, entre otras medidas."
Falso,"Javier Milei promete cerrar el Registro Automotor, y esa propuesta figura en su plataforma electoral"
Falso,Ricardo Darín amenazó a un joven con un mensaje escrito el día de las elecciones generales de 2023
Verdadero,"En redes sociales circulan placas con logos de medios de comunicación que contienen presuntas frases que involucran a políticos, artistas, deportistas y demás personalidades. Es una práctica habitual para generar y difundir desinformaciones, ya que requiere mínimos esfuerzos de edición y suele viralizarse rápido. Consejos para no caer en contenidos falsos."
Falso,Video muestra mosquitos con un número de serie!!!
Falso,Circula un video en Instagram y Tik Tok donde se ve un insecto que al correrle el ala parece tener un número 36 o 38. En la descripción indican que se trataría de un número de serie.
Falso,Lionel Messi publicó en sus redes sociales una imagen de un león en apoyo a Javier Milei
Falso,Pablo Echarri dijo: “Por cómo se viene la mano los argentinos vamos a terminar lavando copas en Europa”
Verdadero,"En redes sociales circula una supuesta placa del diario Clarín con una presunta frase de Pablo Echarri sobre “el futuro de los argentinos”. Sin embargo, es falsa. No hay registros de los supuestos dichos del actor en Google ni en sus redes sociales o las de Clarín. Tanto Echarri como Clarín lo desmintieron."
Falso,"Rolo Sartorio, cantante de La Beriso, afirmo: “Si no ganan Milei o Bullrich dejamos la música para siempre”"
Falso,"Indignante: El músico Fito Páez declaró: “Si no es con un gobierno peronista, no tengo nada que hacer en este país”."
Falso,"Regalan un gran león tallado en madera por un carpintero salteño al candidato de La Libertad Avanza, Javier Milei, antes de las elecciones generales."
Falso,"Proyecto Blue Beam: itnentan establecer un “Nuevo Orden Mundial”. Esta teoría conspirativa está relacionada con otra teoría conspirativa, la del “Nuevo Orden Mundial”, que alega que existe una élite secreta y muy poderosa que busca reemplazar los actuales Estados-Nación por un gobierno autoritario global."
Verdadero,"El video de Cristina Fernández de Kirchner en el que llama a votar por Unión Ciudadana es de 2017, no de 2023"
Verdadero,"Un video en el que la vicepresidenta Cristina Fernández de Kirchner llama a votar por la coalición Unión Ciudadana circula como si hubiese sido grabado previo a las elecciones generales del 22 de octubre. Pero es falso. La grabación original fue difundida dos días antes de las elecciones primarias legislativas de agosto de 2017, en las que Fernández de Kirchner formaba parte de la oposición. "
Falso,Horacio Rodríguez Larreta saludó con la V peronista en el acto de cierre de campaña de Patricia Bullrich
Falso,"Durante el cierre de campaña de Patricia Bullrich, Larreta hace la “V” peronista."
Falso,Joan Manuel Serrat escribió una carta antisemita a los palestinos de Gaza
Verdadero,"El cartel de Unión por la Patria en guaraní no dice “apestoso”, es una mala traducción"
Falso,"Israel bombardeó la iglesia ortodoxa de San Porfirio, en Gaza"
Falso,"Israel habría bombardeado la iglesia ortodoxa de San Porfirio, en Gaza."
Falso,"Javier Milei, en el segundo debate presidencial 2023: “Hoy el empleo informal es más importante que el formal”"
Verdadero,"El 7 de octubre último, la organización política y militar palestina Hamas lanzó un ataque sobre Israel. Tras este ataque y la contraofensiva de Israel, comenzaron a circular en redes sociales desinformaciones sobre el conflicto."
Falso,Javier Milei se apellidaba originalmente “Mileikowsky”
Falso,Milei no es el verdadero apellido del candidato a presidente de La Libertad Avanza. Su nombre completo no es Javier Gerardo Milei.
Falso,"Sergio Massa, en el segundo debate presidencial 2023, sobre las economías regionales: “El único que bajó las retenciones fui yo”"
Verdadero,"En septiembre, Massa eliminó las retenciones a 371 productos de las economías regionales. Sin embargo, no es la primera vez que se toma esta medida: en 2015 Mauricio Macri (Cambiemos) hizo lo mismo para la mayoría de los productos agropecuarios. En 2018, restituyó las retenciones. Durante la gestión de Martín Guzmán como ministro también se eliminaron retenciones a productos de las economías regionales."
Falso,"Javier Milei, en el segundo debate presidencial 2023: “Hay 7 mil personas esperando un trasplante y 300 mil potenciales donantes (de órganos)”"
Verdadero,"Es cierto que actualmente hay 7.103 personas en lista de espera del Incucai. Sin embargo, para poder donar órganos, el fallecimiento de una persona debe producirse en la terapia intensiva de un hospital, y la muerte debe ser certificada bajo criterios neurológicos. Una muerte de estas características se produce en aproximadamente 4 de cada 1.000 casos."
Verdadero,"Sergio Massa, en el segundo debate presidencial 2023: “Javier (Milei), votaste en contra de la Ley de Cardiopatías Congénitas”"
Verdadero,"El candidato presidencial de La Libertad Avanza votó en contra del proyecto para detectar y prevenir cardiopatías congénitas en bebés recién nacidos cuando fue tratado en la Cámara de Diputados en noviembre de 2022. A pesar del voto negativo de Milei, el 13 de abril último la iniciativa fue convertida en ley por el Senado."
Falso,Estos niños israelies en jaulas fueron secuestrados por Hamas
Falso,Circula en redes sociales un video en el que aparecen unos niños en una jaula y se afirma que son israelíes secuestrados por Hamas. Se publicó en TikTok antes de la ofensiva de Hamas sobre Israel y el usuario que difundió el video explicó que los niños son sus familiares.
Falso,"Patricia Bullrich a Sergio Massa, en el segundo debate presidencial 2023: “Hay 2 millones de pobres más en el tiempo que va tu año de ministro de Economía”"
Falso,"De acuerdo con el análisis de los últimos datos disponibles del INDEC, entre el primer semestre de 2022, cuando Massa aún no era ministro, y el primer semestre de 2023, la cantidad de pobres aumentó en 1,7 millones de personas, no 2 millones como expresó Bullrich. De todas maneras, los datos muestran que la población por debajo de la línea de la pobreza se encuentra en ascenso, luego de la baja registrada entre 2021 y 2022.
 "
Falso,"Myriam Bregman, en el segundo debate presidencial 2023: “En una década incrementaron en un 97% la población carcelaria”"
Verdadero,"De 2012 a 2022 (último dato disponible), la población penitenciaria de todo el país, incluyendo el Servicio Penitenciario Federal (SPF) y los servicios penitenciarios provinciales, aumentó un 72% y no un 97%. De todas maneras, los datos muestran una tendencia ascendente en la cantidad de personas que están privadas de su libertad."
Falso,"Patricia Bullrich a Sergio Massa, en el segundo debate presidencial 2023: “El salario de la gente cayó un 30%”"
Verdadero,"Ninguno de los indicadores que miden la evolución de los salarios registra una caída como la señalada por Bullrich, tanto en el período completo del Frente de Todos como en la gestión de Massa como ministro."
Falso,"Javier Milei, en el segundo debate presidencial 2023: “Todas esas políticas que culpan al ser humano del cambio climático son falsas”"
Verdadero,Las evidencias científicas son abrumadoras e indican que el cambio climático está ocurriendo y es producto de la actividad humana. Muchos de los efectos que las y los científicos predijeron hace décadas ya están ocurriendo.
Falso,"Sergio Massa, en el segundo debate presidencial 2023: “En el año 2019, se liberaron 16 mil presos. En el año 2020, se liberaron 9 mil”"
Verdadero,"El número total de egresos del Sistema Penitenciario Federal (SPF) fue más alto en 2019 -cuando gobernaba Mauricio Macri (Cambiemos) y la candidata presidencial Patricia Bullrich era ministra de Seguridad- que en 2020, bajo la administración de Alberto Fernández (Frente de Todos). Sin embargo, en 2019 la mayor proporción de egresos correspondió a personas que cumplieron su pena y, en cambio, en 2020 creció en más de un 85% el número de beneficios de arresto domiciliario a partir de las recomendaciones internacionales y locales de reducir la población penitenciaria en el contexto de la pandemia. "
Falso,"Javier Milei, en el segundo debate presidencial 2023: “Los indicadores sociales son peores que los que teníamos en 2001”"
Verdadero,"Si se analizan los datos de la pobreza, la indigencia, la desigualdad y el desempleo de 2001 bajo los mismos parámetros que se lo hace hoy, durante la crisis de aquel año estos indicadores se encontraban peor que en la actualidad. "
Verdadero,"Patricia Bullrich, en el segundo debate presidencial 2023: “Javier Milei, mirá tu plataforma. Artículo 17. Desregulación (del mercado) de armas”"
Verdadero,"En la plataforma de La Libertad Avanza se propone, sobre la tenencia de armas de fuego, “la desregulación del mercado legal y proteger su uso legítimo y responsable por parte de la ciudadanía”. Por lo tanto, lo que dijo Bullrich es verdadero."
Verdadero,"Sergio Massa, en el segundo debate presidencial 2023, sobre el impuesto a las Ganancias: “Más de 2 millones de argentinos ya no tienen esa preocupación”"
Verdadero,"Con los cambios anunciados por el Gobierno y luego convalidados por el Congreso de la Nación, el universo de personas alcanzadas por este impuesto se redujo a 88 mil personas a partir de octubre de 2023. El último dato implica una reducción de 2.052.000 personas respecto a 2019, lo que coincide con lo señalado por el candidato presidencial de Unión por la Patria. "
Verdadero,"Javier Milei, en el segundo debate presidencial 2023: “El empleo formal privado está estancado desde el 2011”"
Verdadero,"Desde enero de 2012, cuando inicia la serie de estadísticas del Ministerio de Trabajo de la Nación, en términos absolutos la cantidad de empleados registrados del sector privado aumentó en 335 mil. Pero, si se tiene en cuenta el crecimiento poblacional de este período, -como recomiendan los especialistas-, la cantidad de asalariados del sector privado formal se redujo en un 5,6%."
Falso,"Sergio Massa, en el segundo debate presidencial 2023: “Bajé 80% el robo automotor en Tigre”"
Verdadero,"Según datos del Centro de Experimentación de Seguridad Vial (CESVI) Argentina, en la gestión de Massa en ese municipio el robo automotor descendió un 69,8%, 10 puntos menos al porcentaje que mencionó el candidato a presidente de Unión por la Patria."
Verdadero,"Patricia Bullrich a Sergio Massa, en el segundo debate presidencial 2023: “Estás con el gobierno que aumentó los homicidios el 70% en Rosario”"
Verdadero,"Los datos oficiales producidos por organismos provinciales informan que la tasa de homicidios dolosos en el departamento de Rosario aumentó en un 70% entre 2019 y 2022, durante la gestión del Frente de Todos."
Verdadero,"Javier Milei, en el segundo debate presidencial 2023: “Hoy la inflación viaja al 120%”"
Verdadero,"De acuerdo con los últimos datos del INDEC, la inflación anual en agosto de 2023 (último dato disponible) fue del 124,4%. El dato de agosto último es el más alto desde julio de 1991, cuando la inflación interanual llegó a 141,3%."
Verdadero,"Juan Schiaretti, en el debate presidencial 2023: “En Córdoba no tenemos déficit fiscal”"
Verdadero,"La provincia de Córdoba registró superávit en lo que va de 2023. Además, anotó en 2022 su cuarto año consecutivo con superávit fiscal primario y el tercero con superávit financiero, según las cifras oficiales. "
Verdadero,"No, este video del Obelisco porteño cubierto por un preservativo no es real: es una animación digital"
Falso,Circula un video del Obelisco porteño cubierto con un preservativo gigante y usuarios aseguran que esto ocurrió en la realidad
Falso,"“Algo emergió del agua de la Antártida”, en el video que muestra una ola que impacta en un bote"
Verdadero,"Las primeras referencias más antiguas del video, según pudo constatar Chequeado, datan del año 2021 y lo describen como un tsunami generado por el desprendimiento de un iceberg. No existen pruebas de que sea un video que haya sido registrado en la Antártida."
Falso,La historia clínica de Javier Milei que aparece en este video sobre una web del Ministerio de Salud demuestra que esta psiquiatrico
Falso,"El Ministerio de Salud nacional afirmo que se trate de una página oficial de la cartera sanitaria. Además, desde el Fleni aclararon que “el candidato a presidente, Javier Milei, fue paciente de la institución”."
Falso,Patricia Bullrich afirmando que Javier Milei “la acosó todo el debate” con sus propuestas
Falso,"Patricia Bullrich, critico al candidato de La Libertad Avanza, Javier Milei, por haberla “acosado” durante el debate del 1 de octubre."
Falso,"Patricia Bullrich, en el debate presidencial 2023: “El presupuesto educativo que mandó (Sergio) Massa no aumentó; bajó un 9%”"
Falso,"Sergio Massa, en el debate presidencial 2023: “El radicalismo votó Ganancias con nosotros”"
Falso,"De acuerdo con los registros de la Cámara de Diputados de la Nación, los bloques de la UCR y Evolución Radical votaron a favor de la iniciativa oficial. En el Senado, en tanto, los miembros del bloque de la UCR tambien votaron en a favor de la ley de ganancias."
Verdadero,"Sergio Massa, en el debate presidencial 2023: “Mandé al Congreso la ley que sube de 6 a 8 puntos del PBI la inversión mínima en educación”"
Verdadero,"El 15 de septiembre último, el candidato presidencial de Unión por la Patria presentó ante el Congreso de la Nación el nuevo proyecto de Ley de Financiamiento Educativo que aumenta la inversión en el área del 6% al 8% del Producto Bruto Interno (PBI) para 2030."
Verdadero,"Javier Milei, en el debate presidencial 2023: “El 50% de los chicos no entiende un texto que lee”"
Verdadero,"De acuerdo con un informe del Observatorio de la ONG Argentinos por la Educación, el 46% de los alumnos de tercer grado de primaria se ubican en el nivel más bajo de lectura. Especialistas aseguran que se toma a tercer grado de primaria como representativo porque es el final del primer ciclo educativo.
 "
Falso,"Javier Milei, en el debate presidencial 2023: “El 13% de los chicos no termina el colegio en tiempo y forma”"
Verdadero,"De acuerdo con un informe del Observatorio Argentinos por la Educación, sólo 13 de cada 100 estudiantes terminaron el colegio en tiempo y en forma en 2022. Es decir, la cifra muestra exactamente lo contrario a lo que dijo Milei."
Verdadero,"Patricia Bullrich, en el debate presidencial 2023: “(Hay) un 40,1 de pobreza”"
Verdadero,"Durante el primer debate presidencial, la candidata habló de la proporción de personas debajo de la línea de la pobreza. El dato es correcto de acuerdo a los últimos datos publicados por el INDEC. Esto representa un aumento de 3,6 puntos respecto al mismo período de 2022."
Falso,"Sergio Massa, en el debate presidencial 2023: “El 4,8% del PBI va en beneficios a empresarios”"
Falso,"Los gastos tributarios estimados en el Presupuesto 2023 representan el 4,9% del Producto Bruto Interno (PBI), pero aproximadamente el 2,5% está dirigido a las empresas."
Falso,"Patricia Bullrich, en el debate presidencial 2023: “Hemos logrado ser el partido con más gobernadores de la Argentina en 40 años de democracia”"
Verdadero,"Aunque ganara las 4 elecciones provinciales que se realizarán el 22 de octubre, Juntos por el Cambio no llegaría a ser el partido con más gobernadores en 40 años de democracia. Desde 1983, el Partido Justicialista siempre tuvo al menos 12 gobernadores propios, cifra a la que no puede llegar Juntos por el Cambio en los comicios de 2023."
Falso,"Javier Milei, en el debate presidencial 2023: “La Argentina inició el siglo XX siendo el país más rico del mundo. Hoy estamos de mitad de la tabla para abajo”"
Verdadero,"Según datos históricos publicados por la serie Maddison, en 1900 la Argentina se ubicaba en el puesto 13 entre 45 países analizados si se tiene en cuenta el PBI per cápita por la Paridad del Poder Adquisitivo. En 2022, de acuerdo con datos del Banco Mundial, nuestro país terminó en el puesto 66 sobre 184 naciones."
Verdadero,"Juan Schiaretti, en el debate presidencial 2023: “En Córdoba, tenemos los jardines de 3 años y de 4 años obligatorios”"
Verdadero,"A nivel nacional, la Ley 27.045 dispuso la obligatoriedad de la asistencia al jardín de infantes a partir de la sala de 4 años. En Córdoba, además, la Legislatura aprobó en 2016 una modificación a la ley provincial de educación, mediante la cual estableció la obligatoriedad para el Estado provincial de ofrecer el ingreso a salas de 3 años."
Verdadero,"Myriam Bregman, en el debate presidencial 2023: “(Hay) casi un femicidio por día en nuestro país”"
Verdadero,"Durante 2022 (último dato anual), hubo 226 femicidios, es decir 1 cada cada 39 horas, en línea con lo que dijo la candidata presidencial del FIT. Según los datos oficiales, el 88% de las víctimas conocía al victimario y, de ellas, el 42% convivía con él. Al menos 38 víctimas ya habían denunciado a su victimario con anterioridad, según los datos judiciales."
Verdadero,"Milei plantea un modelo de dolarización que solo 3 países tienen en el mundo: Zimbabue, El Salvador y Ecuador"
Verdadero,"De acuerdo con datos del FMI, sólo 11 de sus 190 países miembros adoptaron al dólar como moneda de curso legal, de los cuales 4 tienen a la divisa estadounidense como moneda única. Pero, del listado de países mencionados por Massa, sólo Ecuador adoptó al dólar como moneda oficial única, mientras que El Salvador el dólar convive con una moneda local y Zimbabue adoptó la divisa estadounidense como moneda única en 2009, aunque luego abandonó ese régimen."
Verdadero,"Javier Milei, en el debate presidencial 2023: “La Argentina en los últimos 122 años tuvo 112 de déficit fiscal”"
Verdadero,"El país registró déficit fiscal financiero en 112 años de los últimos 122. De acuerdo con el análisis del resultado fiscal primario la Argentina registró déficit en 82 años. Si bien se trata de un número menor, es el 67% del período histórico señalado."
Verdadero,"El candidato presidencial por la Libertad Avanza, Javier Milei, habría faltado a 50 de 103 votaciones a las que debía concurrir como diputado nacional y no ha presentado proyectos como legislador."
Falso,Sergio Massa recibe una bolsa con cocaína
Falso,"Circula en redes sociales un video donde se ve al ministro de Economía de la Nación y candidato a la presidencia por Unidad por la Patria atajando una bolsita transparente con un contenido blanco. “Ah, bueno. Ya ni disimula. Peronia=Merca”."
Falso,Luis Petri: “La Argentina está entre los 10 países con más alta presión tributaria”
Falso,Video muestra a un extraterrestre alimentado por humanos en la NASA
Falso,Helicóptero arroja mosquitos a la gente
Falso,Circulan varios contenidos en redes sociales que indican que la empresa Oxitec está utilizando helicópteros para arrojar mosquitos modificados genéticamente en Florida.
Verdadero,Victoria Villarruel: “En Defensa tenemos los presupuestos más bajos de toda la región”
Verdadero,"Según diversas fuentes internacionales, la Argentina destina menos del 1% de su PBI al gasto militar y es el país de Sudamérica con menor inversión destinada a este área."
